,Unnamed: 0,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
340,340,MENDOZA_CAPITAL,"Capital, Mendoza",LA LIBERTAD AVANZA,72.86,27.14,52491,19551,74.77,100435,75098,1.99,0.06,2.02,1493,47,MENDOZA
341,341,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",LA LIBERTAD AVANZA,63.45,36.55,16854,9709,71.43,38556,27539,1.71,0.08,1.75,472,21,MENDOZA
342,342,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",LA LIBERTAD AVANZA,72.13,27.87,83025,32074,75.17,159783,120107,1.72,0.05,2.4,2068,61,MENDOZA
343,343,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",LA LIBERTAD AVANZA,73.9,26.1,128158,45268,76.14,236601,180152,1.45,0.05,2.24,2607,87,MENDOZA
344,344,MENDOZA_JUNIN,"Junin, Mendoza",LA LIBERTAD AVANZA,73.95,26.05,21204,7470,79.89,37416,29890,1.5,0.06,2.52,447,17,MENDOZA
345,345,MENDOZA_LA PAZ,"La Paz, Mendoza",LA LIBERTAD AVANZA,50.51,49.49,3839,3762,81.99,9470,7764,0.98,0.03,1.09,76,2,MENDOZA
346,346,MENDOZA_LAS HERAS,"Las Heras, Mendoza",LA LIBERTAD AVANZA,68.03,31.97,82988,38995,75.25,168630,126887,1.4,0.07,2.39,1782,86,MENDOZA
347,347,MENDOZA_LAVALLE,"Lavalle, Mendoza",LA LIBERTAD AVANZA,59.93,40.07,15909,10635,75.4,36296,27368,1.35,0.05,1.61,369,14,MENDOZA
348,348,MENDOZA_LUJAN DE CUYO,"Lujan De Cuyo, Mendoza",LA LIBERTAD AVANZA,77.01,22.99,66872,19960,77.72,115929,90099,1.48,0.06,2.08,1333,58,MENDOZA
349,349,MENDOZA_MAIPU,"Maipu, Mendoza",LA LIBERTAD AVANZA,73.41,26.59,85617,31008,78.65,153852,121010,1.4,0.05,2.18,1696,57,MENDOZA
350,350,MENDOZA_MALARGÜE,"Malargüe, Mendoza",LA LIBERTAD AVANZA,64.9,35.1,11239,6079,71.08,25331,18006,1.79,0.0,2.03,322,0,MENDOZA
351,351,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",LA LIBERTAD AVANZA,70.0,30.0,24649,10562,79.15,46163,36540,1.54,0.04,2.06,561,14,MENDOZA
352,352,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",LA LIBERTAD AVANZA,73.89,26.11,16289,5756,78.72,28880,22735,1.12,0.03,1.89,254,6,MENDOZA
353,353,MENDOZA_SAN MARTIN,"San Martin, Mendoza",LA LIBERTAD AVANZA,69.0,31.0,49468,22220,76.28,97428,74317,1.35,0.04,2.14,1006,31,MENDOZA
354,354,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",LA LIBERTAD AVANZA,68.88,31.12,75745,34229,74.15,153789,114039,1.6,0.04,1.93,1828,41,MENDOZA
355,355,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",LA LIBERTAD AVANZA,55.36,44.64,6233,5026,77.69,14834,11524,0.87,0.01,1.42,100,1,MENDOZA
356,356,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",LA LIBERTAD AVANZA,72.56,27.44,24032,9089,78.33,43537,34103,1.17,0.01,1.7,398,4,MENDOZA
357,357,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",LA LIBERTAD AVANZA,75.7,24.3,15752,5057,76.64,27958,21426,1.19,0.02,1.67,255,5,MENDOZA
426,426,SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",UNION POR LA PATRIA,47.21,52.79,4977,5566,71.99,14919,10740,0.96,0.02,0.86,103,2,SAN JUAN
427,427,SAN JUAN_9 DE JULIO,"9 De Julio, San Juan",LA LIBERTAD AVANZA,58.21,41.79,3868,2777,71.57,9468,6776,0.71,0.09,1.14,48,6,SAN JUAN
428,428,SAN JUAN_ALBARDON,"Albardon, San Juan",LA LIBERTAD AVANZA,59.89,40.11,10287,6889,78.65,22491,17690,1.48,0.06,1.37,262,10,SAN JUAN
429,429,SAN JUAN_ANGACO,"Angaco, San Juan",LA LIBERTAD AVANZA,59.88,40.12,3823,2561,78.43,8336,6538,0.81,0.05,1.5,53,3,SAN JUAN
430,430,SAN JUAN_CALINGASTA,"Calingasta, San Juan",LA LIBERTAD AVANZA,62.22,37.78,3453,2097,67.13,8642,5801,1.81,0.0,2.52,105,0,SAN JUAN
431,431,SAN JUAN_CAPITAL,"Capital, San Juan",LA LIBERTAD AVANZA,70.39,29.61,49940,21003,77.89,93773,73036,1.27,0.09,1.51,928,65,SAN JUAN
432,432,SAN JUAN_CAUCETE,"Caucete, San Juan",LA LIBERTAD AVANZA,51.01,48.99,11865,11396,75.56,31818,24041,0.77,1.17,1.3,186,281,SAN JUAN
433,433,SAN JUAN_CHIMBAS,"Chimbas, San Juan",LA LIBERTAD AVANZA,56.17,43.83,30239,23596,75.49,73432,55433,1.01,0.1,1.77,559,56,SAN JUAN
