,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",Alianza Frente para la Victoria,5.97,11.83,6.82,3.11,64.38,6.46,1.43,17733,35164,20282,9245,191382,19207,4264,84.35,365513,308318,2.87,0.07,0.64,8858,202,1981
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",Alianza Frente para la Victoria,7.5,16.33,6.48,3.69,54.61,9.59,1.8,15477,33671,13355,7614,112623,19780,3718,81.46,261230,212795,2.45,0.08,0.55,5221,160,1176
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",Alianza Frente para la Victoria,6.35,10.9,6.76,3.34,63.43,7.75,1.47,11120,19090,11851,5849,111123,13584,2569,86.06,211826,182287,3.37,0.03,0.49,6151,54,896
11,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",Alianza Frente para la Victoria,9.47,14.04,9.27,3.47,51.73,10.21,1.81,5135,7611,5025,1882,28040,5535,979,82.12,68989,56651,3.72,0.05,0.55,2106,29,309
14,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",Alianza Frente para la Victoria,6.2,10.9,6.24,1.4,53.9,20.2,1.17,915,1609,921,207,7956,2981,172,85.62,18141,15532,4.29,0.03,0.65,666,4,101
15,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",Alianza Frente para la Victoria,9.3,14.98,4.65,2.52,56.07,10.7,1.78,4924,7936,2465,1334,29702,5669,943,85.35,64651,55177,3.28,0.05,0.66,1812,27,365
21,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",Alianza Frente para la Victoria,5.36,13.51,6.1,1.73,61.0,11.15,1.15,1489,3752,1694,480,16939,3095,320,84.33,34433,29036,3.67,0.02,0.68,1066,5,196
32,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",Alianza Frente para la Victoria,7.15,12.86,10.19,4.05,55.52,8.35,1.89,2496,4490,3560,1413,19390,2916,659,81.39,45166,36760,4.47,0.02,0.51,1642,7,187
33,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",Alianza Frente para la Victoria,7.58,12.7,7.08,2.87,59.33,8.84,1.6,8065,13511,7531,3054,63120,9409,1700,83.72,133524,111790,4.35,0.03,0.45,4868,30,502
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",Alianza Frente para la Victoria,6.06,10.65,7.16,2.86,64.0,7.82,1.45,8671,15223,10237,4090,91504,11182,2069,84.33,175752,148203,2.57,0.09,0.87,3808,137,1282
35,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",Alianza Frente para la Victoria,8.79,14.42,8.14,1.69,54.22,10.84,1.89,1463,2399,1354,281,9021,1804,315,84.37,20694,17460,3.81,0.03,0.87,665,6,152
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",Alianza Frente para la Victoria,6.7,7.69,8.33,2.71,66.76,6.65,1.16,5000,5740,6219,2020,49822,4961,869,85.08,91352,77724,3.3,0.06,0.62,2566,44,483
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",Alianza Frente para la Victoria,5.01,7.35,4.64,2.58,73.66,5.84,0.93,9923,14569,9202,5107,145986,11569,1841,84.17,247147,208013,3.89,0.08,0.76,8086,158,1572
50,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",Alianza Frente para la Victoria,6.93,12.77,6.13,2.09,60.82,9.93,1.33,2926,5386,2585,882,25662,4188,563,82.57,53247,43965,3.46,0.03,0.54,1522,13,238
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",Alianza Frente para la Victoria,8.56,16.67,6.88,3.21,54.3,8.71,1.68,19763,38498,15895,7408,125400,20118,3870,81.47,293180,238853,2.29,0.1,0.92,5464,242,2195
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",Alianza Frente para la Victoria,9.06,14.48,7.09,3.48,56.89,7.37,1.64,9635,15406,7546,3697,60521,7841,1742,82.7,133358,110284,2.79,0.04,0.7,3078,48,770
58,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",Alianza Frente para la Victoria,9.46,17.06,7.07,3.56,53.21,8.03,1.61,9400,16946,7026,3532,52860,7975,1598,83.61,122648,102552,2.56,0.04,0.54,2622,40,553
59,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",Alianza Frente para la Victoria,5.11,7.38,6.43,3.26,70.6,6.16,1.06,6826,9862,8594,4355,94331,8233,1419,83.51,168422,140648,4.08,0.05,0.87,5739,69,1220
63,BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",Alianza Frente para la Victoria,8.73,22.19,7.69,3.57,43.29,11.97,2.56,30978,78714,27275,12654,153609,42476,9092,81.14,455794,369821,3.32,0.05,0.69,12279,179,2565
64,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",Alianza Frente para la Victoria,7.65,16.35,7.48,3.5,55.16,8.41,1.45,21442,45813,20957,9813,154556,23568,4055,82.18,353328,290378,2.94,0.04,0.52,8538,112,1524
67,BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",Alianza Frente para la Victoria,5.86,11.89,8.89,1.5,53.78,16.86,1.24,535,1086,812,137,4913,1540,113,85.82,11060,9492,3.31,0.04,0.4,314,4,38
73,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",Alianza Frente para la Victoria,6.0,13.78,8.14,3.08,60.78,6.72,1.49,20551,47170,27856,10541,208003,23003,5112,83.09,426106,354040,2.46,0.06,0.81,8727,221,2856
74,BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",Alianza Frente para la Victoria,12.99,17.95,5.61,1.83,49.33,10.92,1.36,7420,10256,3203,1046,28183,6241,779,82.01,72821,59722,3.71,0.03,0.6,2217,20,357
77,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",Alianza Frente para la Victoria,4.74,7.03,11.82,2.74,67.83,4.94,0.9,7967,11814,19873,4615,114073,8304,1517,85.77,205641,176378,4.1,0.1,0.46,7224,184,807
79,BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",Alianza Frente para la Victoria,5.13,8.47,4.95,2.41,70.49,7.49,1.07,1439,2374,1387,675,19767,2101,300,83.9,34848,29237,3.36,0.22,0.51,981,65,148
80,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",Alianza Frente para la Victoria,6.56,9.99,5.72,2.95,67.56,6.13,1.09,44538,67832,38837,20055,458823,41634,7412,84.4,834863,704663,3.1,0.03,0.5,21815,192,3525
82,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",Alianza Frente para la Victoria,6.08,9.22,6.77,3.24,67.2,6.36,1.13,16327,24761,18191,8700,180431,17067,3027,84.66,330576,279871,3.69,0.01,0.36,10328,26,1013
85,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",Alianza Frente para la Victoria,6.73,9.31,6.6,2.86,66.95,6.44,1.12,14253,19739,13983,6063,141878,13643,2363,83.95,264813,222317,3.99,0.07,0.61,8870,161,1364
86,BUENOS AIRES_MORON,"Moron, Buenos Aires",Alianza Frente para la Victoria,9.5,21.12,7.38,3.34,48.24,8.47,1.94,18365,40838,14267,6457,93268,16384,3746,81.52,245819,200401,2.79,0.04,0.71,5590,73,1413
96,BUENOS AIRES_PILAR,"Pilar, Buenos Aires",Alianza Frente para la Victoria,8.39,12.44,6.77,2.43,60.37,7.77,1.83,11293,16738,9105,3266,81231,10451,2462,84.12,166052,139689,3.18,0.02,0.48,4447,29,667
98,BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",Alianza Frente para la Victoria,3.98,6.37,13.25,2.24,68.35,4.82,0.99,1507,2411,5018,849,25875,1826,373,84.63,47004,39780,3.94,0.03,0.85,1569,13,339
101,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",Alianza Frente para la Victoria,7.1,14.64,5.79,3.07,59.61,8.1,1.68,22374,46124,18242,9686,187780,25523,5280,82.84,393462,325944,2.75,0.07,0.54,8957,229,1749
