,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.25,6.66,2.92,62.85,12.57,1.18,7.3,2.66,0.26,0.36,9143,18758,8219,176942,35392,3326,20550,7493,724,1006,80.33,373670,300177,5.09,0.25,0.87,15276.0,749.0,2599.0
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.01,8.59,3.64,51.68,12.69,1.35,10.38,3.12,0.32,0.22,16303,17485,7397,105132,25826,2737,21112,6354,644,455,80.37,265216,213141,3.74,0.03,0.78,7962.0,72.0,1662.0
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.8,5.61,2.89,61.43,11.01,1.04,8.36,2.27,0.31,0.27,11588,9560,4928,104642,18755,1768,14245,3871,532,463,83.5,216575,180848,4.73,0.36,0.71,8560.0,659.0,1277.0
11,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.89,7.38,2.7,54.07,11.97,1.14,10.18,2.84,0.5,0.31,4469,3712,1357,27185,6020,574,5120,1428,252,157,77.36,70306,54389,6.25,0.57,0.75,3397.0,312.0,406.0
14,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,1.04,5.61,1.37,49.97,15.54,0.35,23.44,2.08,0.26,0.34,154,828,202,7371,2293,51,3457,307,38,50,85.73,18832,16144,7.66,0.06,0.92,1236.0,9.0,148.0
15,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.23,7.67,2.37,52.94,9.17,1.29,13.32,3.32,0.28,0.42,4787,3976,1227,27457,4756,670,6908,1721,144,217,84.26,65783,55430,5.46,0.05,0.93,3028.0,25.0,514.0
21,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.05,8.49,1.58,61.06,13.7,0.77,12.99,0.8,0.21,0.35,14,2195,409,15781,3540,198,3358,207,54,90,83.3,34419,28671,7.88,0.11,1.87,2258.0,32.0,535.0
32,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.88,6.82,3.63,52.06,14.92,1.38,10.26,3.3,0.3,0.45,2361,2340,1245,17872,5123,475,3522,1133,102,155,78.42,47557,37295,7.26,0.06,0.63,2709.0,22.0,236.0
33,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.49,5.42,2.55,57.73,13.94,0.73,8.66,2.86,0.26,0.35,7833,5665,2672,60387,14579,768,9063,2987,276,366,81.11,139071,112807,6.65,0.03,0.6,7506.0,30.0,675.0
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.08,5.32,2.6,61.79,11.7,1.07,7.37,2.29,0.29,0.48,9883,7428,3631,86271,16334,1490,10289,3201,405,677,80.86,181426,146709,3.25,0.31,1.28,4769.0,458.0,1873.0
35,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.99,6.89,1.19,50.47,18.4,0.55,9.74,2.74,0.41,0.62,1373,1052,181,7706,2809,84,1487,418,63,94,81.95,20691,16956,8.91,0.06,0.98,1511.0,11.0,167.0
