,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
2,2.0,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE PARA LA VICTORIA,39.72,60.28,133647,202868,83.77,412578,345606,1.37,0.05,1.21,4738,159,4194
4,4.0,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE PARA LA VICTORIA,47.87,52.13,104775,114096,82.52,272641,224976,1.61,0.04,1.06,3617,96,2392
10,10.0,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE PARA LA VICTORIA,41.31,58.69,82728,117545,85.46,240112,205194,1.55,0.06,0.79,3178,118,1625
11,11.0,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",CAMBIEMOS,50.67,49.33,30688,29874,84.55,73621,62246,1.79,0.08,0.84,1113,48,523
14,14.0,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",CAMBIEMOS,56.76,43.24,10062,7664,84.28,21480,18103,0.92,0.03,1.14,166,5,206
15,15.0,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",CAMBIEMOS,53.53,46.47,32071,27843,84.02,73015,61345,1.14,0.04,1.15,700,26,705
21,21.0,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",FRENTE PARA LA VICTORIA,46.69,53.31,15058,17194,83.61,39377,32922,1.0,0.02,1.02,328,6,336
32,32.0,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",FRENTE PARA LA VICTORIA,44.19,55.81,17977,22700,82.58,50655,41831,1.67,0.07,1.01,700,31,423
33,33.0,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",FRENTE PARA LA VICTORIA,47.71,52.29,62421,68412,82.88,161612,133942,1.35,0.07,0.9,1813,95,1201
34,34.0,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE PARA LA VICTORIA,42.5,57.5,72495,98094,84.52,206851,174826,1.21,0.06,1.15,2121,108,2008
35,35.0,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",CAMBIEMOS,54.72,45.28,10809,8944,83.19,24269,20189,0.94,0.08,1.13,190,17,229
36,36.0,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE PARA LA VICTORIA,40.54,59.46,38571,56577,85.16,114177,97231,1.16,0.04,0.94,1131,42,910
38,38.0,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE PARA LA VICTORIA,30.98,69.02,71740,159816,83.31,283696,236349,1.26,0.04,0.73,2978,87,1728
50,50.0,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",FRENTE PARA LA VICTORIA,45.09,54.91,23839,29033,82.36,65553,53988,0.95,0.03,1.08,514,17,585
51,51.0,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",CAMBIEMOS,50.46,49.54,127174,124868,81.98,316181,259200,1.55,0.08,1.13,4010,213,2935
57,57.0,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",FRENTE PARA LA VICTORIA,46.81,53.19,54324,61732,83.26,143144,119186,1.28,0.1,1.25,1523,114,1493
58,58.0,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",FRENTE PARA LA VICTORIA,49.76,50.24,55833,56381,84.29,136958,115441,1.93,0.08,0.78,2232,91,904
59,59.0,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",FRENTE PARA LA VICTORIA,33.56,66.44,54325,107560,83.02,199130,165308,0.89,0.05,1.13,1473,83,1867
63,63.0,BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",CAMBIEMOS,58.02,41.98,236351,170994,82.3,512116,421467,1.98,0.07,1.3,8356,305,5461
64,64.0,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",FRENTE PARA LA VICTORIA,48.34,51.66,144916,154863,82.9,371080,307618,1.64,0.07,0.84,5051,204,2584
67,67.0,BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",CAMBIEMOS,52.12,47.88,5406,4967,85.67,12312,10548,1.16,0.0,0.5,122,0,53
73,73.0,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",FRENTE PARA LA VICTORIA,41.63,58.37,158266,221906,82.89,470723,390186,1.49,0.05,1.03,5804,201,4009
74,74.0,BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",CAMBIEMOS,59.77,40.23,39957,26898,81.64,83849,68452,1.09,0.06,1.18,746,42,809
77,77.0,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",FRENTE PARA LA VICTORIA,38.71,61.29,78211,123852,84.67,244277,206835,1.2,0.08,1.03,2480,171,2121
79,79.0,BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",FRENTE PARA LA VICTORIA,40.32,59.68,12966,19193,82.16,40075,32927,1.42,0.02,0.89,468,8,292
80,80.0,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",FRENTE PARA LA VICTORIA,35.57,64.43,274154,496499,84.02,938162,788229,1.41,0.05,0.77,11097,395,6084
82,82.0,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",FRENTE PARA LA VICTORIA,35.14,64.86,105812,195323,82.9,371705,308141,1.19,0.06,1.03,3659,174,3173
85,85.0,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",FRENTE PARA LA VICTORIA,35.8,64.2,92263,165471,84.27,312947,263711,1.24,0.07,0.95,3272,194,2511
86,86.0,BUENOS AIRES_MORON,"Moron, Buenos Aires",CAMBIEMOS,54.73,45.27,115964,95934,82.57,264286,218232,1.55,0.05,1.3,3373,120,2841
96,96.0,BUENOS AIRES_PILAR,"Pilar, Buenos Aires",FRENTE PARA LA VICTORIA,47.52,52.48,80238,88611,83.11,207211,172208,0.81,0.08,1.07,1393,130,1836
98,98.0,BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",FRENTE PARA LA VICTORIA,33.75,66.25,15725,30871,84.74,56140,47574,0.86,0.03,1.17,407,16,555
101,101.0,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",FRENTE PARA LA VICTORIA,44.94,55.06,159223,195085,83.6,433849,362707,1.39,0.08,0.85,5039,276,3084
114,114.0,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",CAMBIEMOS,53.2,46.8,53610,47160,82.41,125333,103291,1.33,0.06,1.05,1372,61,1088
115,115.0,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",CAMBIEMOS,68.91,31.09,145982,65874,82.13,264880,217543,1.38,0.06,1.17,3009,139,2539
116,116.0,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",FRENTE PARA LA VICTORIA,47.62,52.38,82653,90913,82.72,214968,177822,1.04,0.08,1.27,1855,136,2265
119,119.0,BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",FRENTE PARA LA VICTORIA,48.21,51.79,18618,20004,83.09,47565,39520,1.17,0.04,1.06,463,16,419
123,123.0,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",CAMBIEMOS,51.39,48.61,115993,109739,83.14,280016,232796,1.34,0.07,1.62,3123,171,3770
