,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.44,1.02,4.68,42.96,2.89,22.01,85736,3317,15167,139341,9388,71369,79.79,419609,334826,2.3,0.07,0.77,7691,233,2584
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.08,0.75,4.29,39.08,3.29,19.51,72078,1634,9351,85151,7161,42503,76.86,289664,222642,1.63,0.06,0.45,3632,135,997
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.47,0.99,4.48,42.86,2.65,23.55,49341,1912,8671,83029,5137,45621,81.39,245757,200029,2.72,0.03,0.41,5439,63,816
11,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.35,1.06,5.05,35.29,3.16,24.09,18232,617,2939,20525,1835,14011,80.81,74815,60458,3.14,0.19,0.48,1897,114,288
14,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",ALIANZA CAMBIEMOS,41.89,0.91,2.33,36.78,1.55,16.54,6878,149,382,6039,255,2715,83.41,20935,17461,5.06,0.13,0.78,883,23,137
15,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",ALIANZA CAMBIEMOS,38.64,1.01,3.39,33.12,2.19,21.65,22238,584,1954,19062,1258,12460,82.76,71839,59457,2.47,0.08,0.65,1470,46,385
21,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.81,0.94,3.54,41.14,1.81,21.75,9820,301,1129,13109,578,6931,81.77,40093,32783,2.04,0.06,0.69,669,21,225
32,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.58,0.96,5.98,40.65,3.01,22.81,10359,376,2332,15845,1174,8893,80.17,50440,40439,3.0,0.05,0.56,1213,21,226
33,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.16,1.29,4.04,37.36,2.7,23.45,39439,1633,5109,47294,3423,29687,80.25,162933,130750,2.64,0.08,0.47,3446,106,613
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.77,1.01,4.14,42.14,2.38,21.57,47836,1683,6879,70068,3952,35865,77.54,221245,171544,2.23,0.08,0.76,3823,140,1298
35,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",ALIANZA CAMBIEMOS,36.78,1.13,2.18,34.46,2.47,22.98,6660,204,395,6239,447,4161,79.31,23561,18687,2.43,0.06,0.61,455,12,114
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.54,1.18,4.13,44.29,2.13,22.72,23116,1068,3739,40079,1932,20560,79.69,117465,93609,2.65,0.06,0.62,2483,56,576
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.09,0.94,3.87,50.58,1.96,23.56,41257,2025,8359,109286,4233,50908,79.2,284202,225076,3.37,0.09,0.54,7585,201,1222
50,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.87,1.16,2.67,38.34,2.13,24.83,15690,592,1356,19489,1083,12624,80.7,65875,53161,3.61,0.09,0.67,1919,50,358
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.66,0.9,4.06,34.51,3.02,24.86,80459,2214,9993,85009,7432,61227,76.52,330387,252811,1.85,0.06,0.65,4671,159,1647
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.97,0.92,3.94,37.01,3.26,25.91,32982,1051,4482,42136,3710,29501,79.92,146145,116796,1.79,0.08,0.64,2096,93,745
58,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.35,0.94,4.15,35.11,4.46,22.99,35586,1037,4561,38618,4905,25292,81.02,138879,112518,1.81,0.07,0.36,2034,75,410
59,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.24,1.02,3.98,49.5,1.91,24.35,30110,1597,6222,77445,2984,38099,79.81,203933,162749,3.07,0.07,0.73,5002,110,1180
63,BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",ALIANZA CAMBIEMOS,41.11,0.91,5.75,29.89,4.64,17.7,163852,3616,22939,119144,18494,70553,77.18,531539,410229,2.14,0.14,0.55,8778,582,2271
64,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.5,0.73,4.15,37.21,2.99,21.41,96588,2093,11979,107297,8634,61727,77.93,378409,294911,1.73,0.05,0.45,5116,146,1331
67,BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.63,0.7,1.76,36.86,1.33,28.73,2927,67,168,3522,127,2745,83.36,11780,9820,2.25,0.05,0.39,221,5,38
73,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.61,0.85,4.24,44.26,3.2,18.85,105326,3114,15611,162952,11785,69404,76.18,497657,379103,2.24,0.07,0.57,8496,273,2142
74,BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",ALIANZA CAMBIEMOS,42.85,1.48,2.82,28.1,3.09,21.65,27378,948,1803,17953,1977,13832,80.75,81511,65823,2.21,0.05,0.67,1457,33,442
77,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,18.55,0.73,3.82,42.11,1.74,33.05,36435,1435,7495,82720,3427,64928,83.09,243702,202499,2.5,0.07,0.42,5071,139,849
79,BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.87,0.91,3.02,44.77,2.01,27.43,6860,286,946,14044,630,8606,79.49,40876,32493,2.75,0.09,0.61,894,30,197
80,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,23.12,0.97,4.08,48.19,2.42,21.22,170371,7138,30099,355043,17858,156319,76.63,992574,760639,2.59,0.07,0.47,19692,517,3602
82,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,20.22,0.94,3.79,47.71,2.46,24.87,58145,2717,10896,137161,7083,71515,79.37,373940,296803,2.42,0.07,0.63,7190,221,1875
85,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,20.48,1.07,3.56,46.33,2.46,26.11,50194,2627,8719,113552,6033,63991,79.71,318677,254033,2.74,0.11,0.66,6955,282,1680
86,BUENOS AIRES_MORON,"Moron, Buenos Aires",ALIANZA CAMBIEMOS,38.18,0.85,4.02,31.25,4.82,20.88,80199,1792,8439,65653,10122,43871,78.62,273068,214686,1.47,0.07,0.61,3161,148,1301
96,BUENOS AIRES_PILAR,"Pilar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.06,1.07,3.18,38.81,2.02,19.86,59030,1796,5351,65355,3409,33448,80.33,216510,173933,2.27,0.16,0.76,3940,275,1329
98,BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,17.69,0.88,3.91,46.37,1.6,29.56,8076,402,1783,21166,729,13492,80.29,59376,47674,3.41,0.14,0.7,1625,69,332
