,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,22.1,1.18,3.95,48.47,0.48,4.49,17.74,0.61,0.18,0.5,0.31,65807,3519,11747,144325,1417,13364,52816,1802,545,1482,920,74.52,424226,316130,4.89,0.06,0.87,15448,175,2763
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.6,0.96,4.24,40.13,0.56,5.04,18.99,0.56,0.14,0.54,0.24,58301,1958,8645,81788,1141,10276,38711,1136,284,1094,484,72.28,293544,212168,3.35,0.05,0.54,7105,102,1143
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.2,1.38,4.1,46.86,0.66,3.33,20.99,0.54,0.18,0.53,0.23,38198,2479,7382,84430,1185,6002,37820,981,329,949,412,76.69,250625,192200,5.68,0.03,0.55,10913,65,1055
11,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.29,1.12,4.29,40.08,1.12,4.54,20.49,0.78,0.25,0.58,0.44,13657,582,2230,20822,582,2358,10645,407,132,301,230,74.51,75534,56279,7.11,0.06,0.52,4004,34,295
14,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",ALIANZA CAMBIEMOS,40.42,0.72,1.9,38.77,0.44,2.29,14.43,0.35,0.16,0.3,0.22,5730,102,269,5496,62,325,2046,50,23,43,31,78.2,21296,16654,13.89,0.08,0.91,2313,13,151
15,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",ALIANZA CAMBIEMOS,38.82,1.56,3.43,32.41,0.49,3.02,19.07,0.43,0.18,0.34,0.25,19595,786,1733,16359,245,1525,9627,215,89,171,127,74.36,73590,54721,6.75,0.07,0.95,3691,37,521
21,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.44,1.04,3.02,47.25,0.35,2.43,16.32,0.37,0.17,0.27,0.34,8311,304,882,13808,103,711,4769,108,50,78,99,75.3,40796,30721,4.03,0.06,0.78,1239,18,241
32,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.52,0.79,5.61,43.41,1.03,4.43,21.31,0.92,0.19,0.48,0.29,7956,293,2075,16051,381,1639,7881,341,71,179,109,77.68,51493,39998,6.99,0.03,0.54,2795,13,214
33,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.0,1.31,4.01,40.65,0.46,3.41,20.44,0.62,0.28,0.46,0.35,31597,1478,4520,45861,518,3850,23066,698,319,524,399,73.37,165385,121344,6.4,0.03,0.58,7772,42,700
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,23.84,1.32,3.78,44.67,0.59,3.1,21.22,0.55,0.24,0.41,0.28,35566,1967,5642,66636,886,4624,31657,815,360,618,416,71.97,219630,158058,4.53,0.06,1.02,7155,101,1615
35,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.9,0.99,1.99,36.55,0.03,3.67,21.62,0.42,0.23,0.27,0.34,6008,175,352,6479,5,650,3832,75,41,47,60,75.57,24611,18598,3.96,0.05,0.68,737,10,127
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.63,1.66,3.51,46.9,0.38,2.76,23.83,0.38,0.18,0.4,0.37,16010,1356,2863,38260,313,2248,19440,312,150,327,298,73.13,119979,87741,6.18,0.02,0.82,5422,19,723
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,16.06,0.87,3.22,56.89,0.41,2.23,18.85,0.57,0.19,0.42,0.3,32536,1757,6516,115295,827,4519,38206,1158,383,844,609,73.37,295876,217073,5.83,0.09,0.72,12666,185,1572
50,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.7,1.58,2.34,37.5,0.29,3.14,25.97,0.52,0.23,0.36,0.38,12038,685,1015,16300,127,1364,11285,225,99,157,166,70.77,67345,47658,8.03,0.02,0.76,3826,8,363
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.96,1.27,4.25,38.24,0.45,4.22,22.25,0.57,0.14,0.45,0.2,61712,2799,9390,84386,989,9310,49097,1247,316,997,447,71.85,321986,231359,3.8,0.06,0.76,8786,136,1747
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,24.92,1.48,4.26,38.65,0.49,4.99,23.74,0.57,0.18,0.48,0.24,26639,1583,4553,41313,521,5335,25378,614,188,515,259,76.33,146826,112073,4.0,0.04,0.58,4486,43,646
