,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
3,3.0,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE DE TODOS,6.58,3.28,60.23,1.67,26.73,1.52,22521,11218,206155,5730,91491,5187,83.13,421482,350391,1.27,0.19,0.85,4437,667,2985
5,5.0,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE DE TODOS,6.3,2.78,55.27,1.1,32.99,1.55,13864,6120,121552,2426,72553,3408,82.14,272947,224201,1.32,0.13,0.46,2962,295,1021
12,12.0,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE DE TODOS,6.87,3.11,59.1,1.75,27.69,1.48,13910,6288,119648,3540,56064,2994,84.75,244561,207272,1.6,0.24,0.49,3308,503,1017
13,13.0,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",FRENTE DE TODOS,6.95,3.0,55.58,1.15,31.92,1.4,4359,1882,34873,724,20030,879,84.24,76305,64283,1.79,0.16,0.44,1153,103,280
16,16.0,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",FRENTE DE TODOS,5.47,1.67,48.84,1.39,41.31,1.32,1032,315,9217,263,7796,250,83.43,23290,19430,1.94,0.25,0.67,377,49,131
17,17.0,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",FRENTE DE TODOS,6.1,2.69,48.32,2.06,39.54,1.29,3800,1676,30109,1282,24638,806,84.71,75570,64014,1.93,0.13,0.6,1235,84,384
23,23.0,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",FRENTE DE TODOS,5.71,2.61,53.3,1.12,36.04,1.23,1929,882,18018,378,12183,415,83.54,41392,34577,1.57,0.14,0.53,542,48,182
34,34.0,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",FRENTE DE TODOS,5.69,3.16,61.46,1.15,27.14,1.39,2408,1337,25990,487,11475,589,83.7,51791,43348,1.81,0.21,0.43,786,89,187
35,35.0,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",FRENTE DE TODOS,5.75,2.66,54.66,2.54,32.83,1.57,7990,3695,76022,3538,45655,2177,83.17,171685,142782,1.6,0.39,0.6,2290,554,861
36,36.0,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE DE TODOS,6.65,3.04,58.23,1.63,28.95,1.51,11597,5303,101565,2838,50502,2629,83.81,213062,178575,1.59,0.09,0.64,2848,158,1135
37,37.0,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",FRENTE DE TODOS,5.72,2.28,47.01,1.58,41.96,1.46,1230,490,10116,340,9030,315,83.25,26520,22078,1.68,0.07,0.77,372,15,170
38,38.0,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE DE TODOS,6.49,2.95,60.31,1.73,27.08,1.44,6455,2930,59943,1716,26910,1432,83.73,121528,101758,1.83,0.05,0.45,1863,52,457
39,39.0,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE DE TODOS,5.56,2.79,67.93,1.77,20.88,1.07,13440,6739,164339,4289,50520,2588,82.98,298858,247997,1.8,0.16,0.49,4456,405,1221
47,47.0,BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",FRENTE DE TODOS,6.25,1.82,52.11,0.6,38.19,1.04,647,188,5395,62,3954,108,85.61,12470,10676,2.5,0.05,0.47,267,5,50
