,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
3,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE DE TODOS,7.26,4.38,60.53,1.8,0.31,22.73,0.98,0.14,0.12,1.74,23115,13960,192758,5745,985,72382,3126,449,382,5532,76.04,435057,330800,2.9,0.11,0.73,9587,356,2423
5,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE DE TODOS,8.21,3.76,54.93,1.21,0.29,28.41,0.92,0.01,0.09,2.17,17300,7918,115765,2559,603,59884,1934,14,199,4574,76.67,283666,217496,2.46,0.16,0.49,5342,343,1061
12,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE DE TODOS,8.47,3.93,59.01,2.03,0.3,23.49,0.82,0.1,0.09,1.75,16344,7577,113890,3914,584,45336,1592,200,176,3383,78.62,254729,200276,3.07,0.16,0.41,6140,312,828
13,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",FRENTE DE TODOS,8.48,3.72,56.88,1.18,0.27,26.81,0.99,0.13,0.07,1.49,4691,2057,31480,652,148,14837,550,70,40,824,76.65,75428,57812,3.44,0.27,0.55,1991,155,317
16,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",FRENTE DE TODOS,6.23,2.41,51.95,1.41,0.18,35.38,0.52,0.1,0.07,1.76,1101,425,9178,249,32,6250,91,17,12,311,78.92,23640,18657,4.14,0.19,0.98,772,36,183
17,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",FRENTE DE TODOS,8.1,3.92,47.76,2.97,0.24,34.32,0.54,0.01,0.14,2.01,4776,2310,28177,1753,139,20244,321,6,80,1185,77.13,80484,62081,4.23,0.11,0.64,2623,69,398
23,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",FRENTE DE TODOS,7.28,3.54,54.15,1.11,0.2,31.48,0.57,0.12,0.1,1.45,2318,1127,17239,352,65,10020,180,39,31,462,77.3,42983,33227,3.56,0.13,0.5,1184,44,166
34,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",FRENTE DE TODOS,6.6,4.12,62.27,1.35,0.21,22.83,0.92,0.09,0.09,1.52,2580,1611,24348,527,81,8927,360,34,37,595,75.87,53548,40626,3.17,0.18,0.41,1289,72,165
35,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",FRENTE DE TODOS,6.91,3.24,55.67,3.81,0.23,27.34,0.68,0.02,0.18,1.92,8902,4172,71689,4910,298,35208,881,21,231,2467,75.88,176934,134263,3.55,0.15,0.39,4769,195,520
36,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE DE TODOS,8.42,3.82,58.42,1.77,0.32,24.61,0.75,0.1,0.09,1.7,13831,6271,95926,2908,519,40406,1233,165,153,2786,76.19,224264,170856,3.06,0.13,0.71,5225,214,1219
37,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",FRENTE DE TODOS,7.12,2.41,48.37,2.71,0.21,36.08,0.7,0.14,0.08,2.17,1435,486,9748,547,42,7271,141,28,17,438,74.33,28377,21092,3.36,0.19,0.9,709,40,190
38,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE DE TODOS,7.43,3.81,60.92,1.96,0.24,23.35,0.63,0.13,0.09,1.45,6705,3440,54998,1770,217,21084,565,113,79,1309,73.86,128172,94673,3.98,0.04,0.62,3765,38,590
39,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE DE TODOS,5.77,3.33,68.62,1.67,0.27,18.33,0.73,0.0,0.11,1.16,12752,7357,151594,3688,590,40502,1619,6,247,2556,74.68,310064,231571,4.01,0.14,0.46,9277,328,1055
47,BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",FRENTE DE TODOS,8.22,2.27,53.57,0.8,0.15,32.98,0.4,0.01,0.13,1.48,774,214,5045,75,14,3106,38,1,12,139,77.37,12819,9918,4.43,0.02,0.59,439,2,59
