,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
5,5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,4.42,3.55,18.36,23.11,50.55,15165,12191,63045,79349,173547,77.96,455602,355170,2.48,0.1,0.76,8821,343
7,7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,3.73,2.92,23.89,20.43,49.03,8370,6563,53651,45868,110106,78.56,294188,231114,2.21,0.16,0.47,5110,359
14,14,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,4.39,3.42,18.42,25.54,48.23,9382,7307,39351,54563,103047,80.79,273353,220842,2.59,0.16,0.52,5709,343
15,15,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",UNION POR LA PATRIA,3.71,3.26,21.9,22.93,48.2,2306,2028,13605,14244,29945,78.56,82044,64455,3.14,0.14,0.33,2022,93
18,18,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",UNION POR LA PATRIA,1.88,4.52,28.03,28.57,37.0,387,931,5778,5890,7628,81.27,26459,21502,3.31,0.24,0.59,711,51
19,19,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",UNION POR LA PATRIA,3.23,3.37,30.38,26.37,36.65,2106,2199,19820,17199,23910,78.42,86701,67994,3.37,0.08,0.61,2291,51
25,25,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",UNION POR LA PATRIA,3.48,3.77,21.09,28.47,43.19,1323,1431,8013,10819,16412,76.44,51303,39217,2.33,0.27,0.51,913,106
36,36,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",UNION POR LA PATRIA,3.68,2.46,17.33,21.37,55.16,1629,1088,7665,9447,24388,78.66,58157,45748,2.8,0.28,0.26,1281,129
37,37,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",UNION POR LA PATRIA,3.55,3.64,20.0,30.15,42.66,5274,5403,29676,44742,63308,78.2,196873,153953,2.89,0.17,0.54,4448,269
38,38,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,4.2,3.53,19.45,27.22,45.61,7584,6367,35116,49147,82369,78.2,239651,187400,2.74,0.13,0.77,5133,236
39,39,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",UNION POR LA PATRIA,2.32,4.69,25.6,33.24,34.15,569,1149,6269,8142,8363,78.58,32428,25483,2.77,0.44,0.67,707,112
40,40,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,3.72,3.04,16.29,29.88,47.08,4084,3339,17902,32832,51731,80.04,142896,114369,3.42,0.07,0.43,3916,75
41,41,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,4.11,2.97,12.68,24.23,56.01,10133,7330,31242,59727,138034,76.51,335691,256830,3.57,0.07,0.4,9167,167
50,50,BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",UNION POR LA PATRIA,2.46,4.2,26.14,25.23,41.97,275,470,2924,2822,4694,81.81,14193,11611,3.13,0.1,0.43,364,12
55,55,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",UNION POR LA PATRIA,3.2,2.95,18.63,28.69,46.53,2153,1985,12543,19316,31331,75.68,92628,70100,3.44,0.06,0.46,2411,42
56,56,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",UNION POR LA PATRIA,3.94,3.32,24.34,24.47,43.92,10200,8584,62941,63294,113590,75.55,351839,265803,1.88,0.13,0.7,4989,357
61,61,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",UNION POR LA PATRIA,4.14,3.26,22.65,24.37,45.59,4978,3920,27228,29293,54804,78.21,157924,123514,1.69,0.19,0.79,2082,233
