,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
5,5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,4.68,0.26,0.32,1.32,24.21,26.17,0.54,0.24,0.49,0.57,0.27,1.19,0.33,0.12,39.28,13408.0,755.0,929.0,3768.0,69329.0,74951.0,1548.0,684.0,1409.0,1640.0,771.0,3407.0,935.0,338.0,112486.0,67.97,455266,309453,6.28,0.17,1.01,19440,536
7,7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,4.09,0.18,0.21,1.11,29.61,21.27,0.44,0.17,0.51,0.29,0.22,1.23,0.25,0.11,40.3,7763.0,335.0,403.0,2113.0,56226.0,40389.0,834.0,321.0,976.0,548.0,419.0,2342.0,475.0,214.0,76513.0,69.01,294097,202967,5.64,0.15,0.66,11447,307
14,14,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,4.23,0.02,0.24,1.19,24.18,27.77,0.47,0.22,0.48,0.44,0.32,1.38,0.18,0.11,38.75,7512.0,43.0,429.0,2121.0,42917.0,49296.0,837.0,393.0,853.0,779.0,576.0,2443.0,320.0,200.0,68787.0,70.18,273006,191607,6.5,0.15,0.71,12459,288
15,15,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",UNION POR LA PATRIA,4.26,0.35,0.33,1.39,29.39,22.5,0.42,0.29,0.53,0.54,0.31,1.26,0.31,0.11,38.01,2195.0,179.0,172.0,715.0,15138.0,11587.0,218.0,151.0,272.0,277.0,158.0,647.0,158.0,58.0,19574.0,69.41,81862,56819,8.65,0.29,0.42,4917,162
18,18,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",JUNTOS POR EL CAMBIO,1.75,0.47,0.22,1.03,36.04,27.93,0.27,0.28,0.44,0.49,0.14,1.4,0.09,0.22,29.22,308.0,82.0,39.0,182.0,6338.0,4912.0,47.0,50.0,77.0,87.0,25.0,247.0,15.0,39.0,5139.0,72.48,26400,19134,7.07,0.03,0.99,1352,5
19,19,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",JUNTOS POR EL CAMBIO,2.87,0.25,0.15,0.68,41.9,25.21,0.29,0.09,0.34,0.48,0.21,0.74,0.3,0.16,26.33,1609.0,138.0,86.0,383.0,23470.0,14123.0,162.0,50.0,188.0,269.0,117.0,415.0,168.0,91.0,14751.0,70.63,86616,61179,7.46,0.2,0.77,4562,124
25,25,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",UNION POR LA PATRIA,3.18,0.21,0.33,0.98,28.17,28.84,0.29,0.18,0.37,0.23,0.19,1.12,0.19,0.22,35.49,1022.0,67.0,105.0,316.0,9048.0,9265.0,93.0,58.0,119.0,75.0,62.0,360.0,60.0,71.0,11400.0,66.8,51198,34198,5.18,0.27,0.63,1772,91
36,36,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",UNION POR LA PATRIA,4.29,0.26,0.18,0.93,22.07,22.56,0.43,0.14,0.47,0.5,0.21,1.43,0.14,0.22,46.17,1573.0,94.0,65.0,341.0,8094.0,8275.0,159.0,53.0,174.0,182.0,77.0,523.0,53.0,82.0,16935.0,68.61,58068,39841,7.2,0.37,0.36,2868,148
37,37,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",UNION POR LA PATRIA,3.19,0.52,0.25,0.94,25.71,31.13,0.37,0.22,0.34,0.47,0.21,0.67,0.34,0.19,35.43,3867.0,633.0,306.0,1145.0,31156.0,37724.0,445.0,268.0,418.0,571.0,255.0,814.0,412.0,231.0,42929.0,66.96,196562,131623,7.07,0.24,0.63,9309,317
38,38,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,4.15,0.17,0.37,1.29,25.19,30.29,0.45,0.33,0.47,0.72,0.29,1.03,0.24,0.12,34.9,6365.0,259.0,568.0,1974.0,38626.0,46445.0,688.0,500.0,717.0,1111.0,437.0,1583.0,365.0,186.0,53508.0,68.93,239202,164879,5.84,0.18,0.98,9625,304
39,39,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",JUNTOS POR EL CAMBIO,2.03,0.5,0.16,1.32,34.59,29.46,0.25,0.23,0.26,0.2,0.28,0.8,0.0,0.0,29.91,422.0,103.0,33.0,275.0,7190.0,6124.0,52.0,48.0,55.0,41.0,59.0,166.0,0.0,0.0,6217.0,69.82,32393,22616,6.69,0.57,0.84,1513,128
40,40,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,3.33,0.15,0.4,0.79,22.17,32.09,0.36,0.26,0.42,0.49,0.31,0.87,0.11,0.21,38.04,2895.0,127.0,348.0,690.0,19286.0,27915.0,314.0,224.0,369.0,427.0,272.0,757.0,92.0,179.0,33082.0,66.81,142812,95419,8.23,0.08,0.54,7852,79
41,41,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,4.33,0.43,0.34,1.1,18.38,27.72,0.48,0.09,0.5,0.61,0.3,1.22,0.4,0.16,43.93,8672.0,863.0,688.0,2192.0,36778.0,55458.0,969.0,177.0,993.0,1229.0,610.0,2437.0,798.0,321.0,87894.0,64.96,335077,217666,7.34,0.18,0.56,15980,384
50,50,BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",JUNTOS POR EL CAMBIO,2.19,0.18,0.08,1.13,37.48,25.08,0.08,0.15,0.25,0.09,0.17,0.8,0.32,0.07,31.93,208.0,17.0,8.0,108.0,3568.0,2387.0,8.0,14.0,24.0,9.0,16.0,76.0,30.0,7.0,3039.0,72.17,14192,10242,6.25,0.03,0.78,640,3
55,55,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",UNION POR LA PATRIA,2.79,0.4,0.25,0.41,27.83,28.4,0.38,0.14,0.34,0.5,0.21,0.78,0.37,0.19,37.02,1475.0,213.0,130.0,215.0,14709.0,15007.0,199.0,74.0,181.0,262.0,111.0,413.0,193.0,99.0,19563.0,62.82,92431,58064,8.19,0.16,0.64,4755,95
56,56,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",UNION POR LA PATRIA,3.78,0.18,0.22,1.05,30.18,25.02,0.43,0.01,0.54,0.59,0.26,1.1,0.17,0.09,36.37,8304.0,405.0,474.0,2311.0,66338.0,55002.0,952.0,20.0,1180.0,1304.0,569.0,2426.0,384.0,194.0,79949.0,66.39,351756,233536,4.78,0.13,0.97,11155,308
61,61,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",UNION POR LA PATRIA,3.57,0.15,0.19,0.92,27.79,23.78,0.35,0.05,0.45,0.5,0.37,1.02,0.23,0.13,40.48,3585.0,152.0,196.0,921.0,27947.0,23914.0,356.0,55.0,455.0,506.0,368.0,1027.0,227.0,133.0,40707.0,67.93,158050,107357,5.2,0.19,0.95,5581,209
62,62,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",UNION POR LA PATRIA,4.52,0.13,0.29,1.28,32.29,23.76,0.51,0.12,0.47,0.44,0.31,1.28,0.27,0.12,34.23,4498.0,129.0,289.0,1270.0,32133.0,23645.0,510.0,116.0,469.0,438.0,305.0,1269.0,270.0,115.0,34068.0,70.94,147918,104937,4.33,0.14,0.69,4546,145
63,63,BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",UNION POR LA PATRIA,4.64,0.29,0.35,1.01,20.1,29.47,0.57,0.32,0.51,0.5,0.28,0.83,0.49,0.19,40.45,6143.0,382.0,467.0,1344.0,26631.0,39038.0,751.0,420.0,675.0,663.0,370.0,1094.0,649.0,252.0,53585.0,62.7,229719,144035,7.01,0.15,0.88,10095,215
