,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
151,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.29,1.41,0.39,55.9,4.86,0.14,34.23,1.02,0.06,0.7,159,174,48,6907,601,17,4230,126,8,87,78.63,15955,12546,1.14,0.05,0.32,143.0,6.0,40.0,CHACO
152,CHACO_2 DE ABRIL,"2 De Abril, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.5,1.58,0.37,54.88,10.73,0.12,28.66,1.87,0.12,0.15,61,64,15,2225,435,5,1162,76,5,6,76.66,5373,4119,1.55,0.02,0.0,64.0,1.0,0.0,CHACO
153,CHACO_25 DE MAYO,"25 De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.69,1.21,0.35,67.73,5.1,0.1,21.25,1.25,0.13,0.19,406,183,53,10230,771,15,3209,189,20,28,74.91,20446,15316,0.93,0.02,0.44,142.0,3.0,67.0,CHACO
154,CHACO_9 DE JULIO,"9 De Julio, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.48,1.7,0.33,59.32,7.41,0.18,27.96,1.37,0.07,0.18,240,276,53,9623,1202,29,4536,222,12,29,78.37,21028,16480,0.9,0.1,0.57,148.0,16.0,94.0,CHACO
155,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.53,0.78,0.31,71.52,4.75,0.08,19.81,0.99,0.07,0.15,255,129,52,11883,790,14,3291,165,12,25,72.58,23201,16839,0.94,0.02,0.37,158.0,3.0,62.0,CHACO
156,CHACO_BERMEJO,"Bermejo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.01,1.36,0.43,70.56,4.55,0.27,18.83,1.67,0.17,0.17,303,204,64,10613,684,41,2832,251,25,25,74.14,20664,15321,1.21,0.01,0.6,185.0,2.0,92.0,CHACO
157,CHACO_CHACABUCO,"Chacabuco, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.89,5.02,0.6,56.54,10.08,0.13,21.69,2.73,0.14,0.17,490,852,102,9595,1711,22,3681,463,24,29,79.14,21808,17259,1.11,0.02,0.56,191.0,3.0,96.0,CHACO
158,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",ALIANZA FRENTE PARA LA VICTORIA,4.15,3.52,0.75,55.11,9.36,0.31,22.23,3.79,0.2,0.57,1986,1681,359,26352,4473,149,10631,1812,98,273,75.38,65036,49025,1.19,0.1,1.19,581.0,47.0,583.0,CHACO
159,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",ALIANZA FRENTE PARA LA VICTORIA,0.92,1.92,0.26,67.63,3.65,0.08,24.69,0.73,0.05,0.08,60,126,17,4432,239,5,1618,48,3,5,76.71,8645,6632,0.87,0.02,0.3,58.0,1.0,20.0,CHACO
160,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.03,1.59,0.23,74.91,5.94,0.1,14.73,1.1,0.26,0.1,59,91,13,4291,340,6,844,63,15,6,73.98,7854,5810,1.17,0.0,0.24,68.0,0.0,14.0,CHACO
161,CHACO_GENERAL DONOVAN,"General Donovan, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.61,1.21,0.44,69.87,4.68,0.3,19.9,1.79,0.14,0.06,135,102,37,5866,393,25,1671,150,12,5,82.06,10382,8519,0.85,0.14,0.46,72.0,12.0,39.0,CHACO
162,CHACO_GENERAL GUEMES,"General Guemes, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.71,1.17,0.27,67.59,4.14,0.15,23.49,1.14,0.12,0.22,619,423,98,24395,1496,53,8477,412,42,79,74.88,48981,36679,1.04,0.02,0.53,381.0,8.0,196.0,CHACO
163,CHACO_INDEPENDENCIA,"Independencia, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.29,0.78,0.26,66.96,5.38,0.07,23.96,1.08,0.09,0.14,151,91,30,7830,629,8,2802,126,11,16,77.04,15407,11870,1.25,0.02,0.22,148.0,2.0,26.0,CHACO
164,CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.64,1.32,0.34,65.2,4.39,0.21,24.3,1.3,0.11,0.21,846,422,109,20918,1409,67,7795,416,35,66,75.68,43152,32657,1.03,0.07,0.66,335.0,23.0,216.0,CHACO
165,CHACO_LIBERTAD,"Libertad, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.94,1.7,0.66,64.99,6.14,0.29,22.26,1.71,0.21,0.1,136,119,46,4549,430,20,1558,120,15,7,85.1,8383,7134,1.53,0.04,0.31,109.0,3.0,22.0,CHACO
166,CHACO_MAIPU,"Maipu, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.45,1.24,0.49,59.3,6.61,0.09,29.52,1.06,0.12,0.13,179,152,60,7298,813,11,3633,130,15,16,72.01,17343,12488,1.07,0.0,0.38,133.0,0.0,48.0,CHACO
