,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
151,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",ALIANZA FRENTE PARA LA VICTORIA,29.51,0.54,0.55,58.28,0.56,10.56,3902,71,73,7707,74,1397,78.17,17170,13421,1.21,0.03,0.23,162,4,31,CHACO
152,CHACO_2 DE ABRIL,"2 De Abril, Chaco",ALIANZA FRENTE PARA LA VICTORIA,31.67,0.6,0.5,55.89,0.68,10.66,1263,24,20,2229,27,425,81.86,4935,4040,1.01,0.0,0.27,41,0,11,CHACO
153,CHACO_25 DE MAYO,"25 De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,22.71,1.07,0.83,63.47,0.81,11.11,3650,172,133,10203,131,1786,69.53,23477,16324,1.37,0.0,0.15,224,0,25,CHACO
154,CHACO_9 DE JULIO,"9 De Julio, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.79,0.46,0.62,51.95,0.69,11.5,6037,80,107,9016,119,1995,80.08,21952,17580,0.93,0.01,0.35,163,1,62,CHACO
155,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",ALIANZA FRENTE PARA LA VICTORIA,23.19,0.52,0.63,67.01,0.52,8.13,4476,100,122,12935,100,1570,72.84,26867,19571,1.16,0.01,0.2,228,1,39,CHACO
156,CHACO_BERMEJO,"Bermejo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,17.07,0.56,0.81,64.02,0.68,16.86,2796,91,132,10486,112,2762,75.56,22089,16690,1.67,0.01,0.19,279,1,31,CHACO
157,CHACO_CHACABUCO,"Chacabuco, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.24,0.76,0.84,49.68,0.92,13.55,6449,144,159,9356,173,2551,80.17,23828,19102,1.16,0.02,0.24,221,3,46,CHACO
158,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",ALIANZA FRENTE PARA LA VICTORIA,37.56,0.93,1.35,44.7,1.16,14.31,20782,515,745,24733,640,7915,77.88,72555,56504,1.52,0.02,0.55,857,9,308,CHACO
159,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.47,0.42,0.58,55.31,0.57,12.65,2084,29,40,3783,39,865,76.54,9045,6923,1.11,0.0,0.09,77,0,6,CHACO
160,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",ALIANZA FRENTE PARA LA VICTORIA,20.26,0.46,0.69,69.56,0.29,8.74,1321,30,45,4536,19,570,73.64,9029,6649,1.17,0.66,0.09,78,44,6,CHACO
161,CHACO_GENERAL DONOVAN,"General Donovan, Chaco",ALIANZA FRENTE PARA LA VICTORIA,21.15,1.0,1.04,61.84,0.8,14.16,1822,86,90,5327,69,1220,82.46,10656,8787,1.57,0.2,0.19,138,18,17,CHACO
162,CHACO_GENERAL GUEMES,"General Guemes, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.57,0.64,0.57,67.06,0.82,11.34,7743,253,225,26537,326,4488,68.13,59160,40307,1.56,0.01,0.26,627,5,103,CHACO
163,CHACO_INDEPENDENCIA,"Independencia, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.49,0.48,0.63,69.29,0.54,9.57,2540,62,82,9032,71,1248,76.45,17235,13177,0.95,0.0,0.13,125,0,17,CHACO
