,Unnamed: 0,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
151,151,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",UNION POR LA PATRIA,45.62,54.38,6484,7728,70.25,20566,14448,0.95,0.02,0.66,137,3,CHACO
152,152,CHACO_1° DE MAYO,"1° De Mayo, Chaco",LA LIBERTAD AVANZA,52.71,47.29,5335,4787,79.02,13049,10311,0.94,0.06,0.83,97,6,CHACO
153,153,CHACO_2 DE ABRIL,"2 De Abril, Chaco",LA LIBERTAD AVANZA,54.4,45.6,2542,2131,72.85,6527,4755,1.16,0.0,0.57,55,0,CHACO
154,154,CHACO_25 DE MAYO,"25 De Mayo, Chaco",UNION POR LA PATRIA,39.34,60.66,7565,11666,72.09,27031,19486,0.71,0.0,0.6,138,0,CHACO
155,155,CHACO_9 DE JULIO,"9 De Julio, Chaco",UNION POR LA PATRIA,46.59,53.41,8366,9591,69.98,26169,18314,0.95,0.03,0.97,174,6,CHACO
156,156,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",UNION POR LA PATRIA,39.85,60.15,8546,12900,67.0,32439,21734,0.73,0.03,0.57,159,6,CHACO
157,157,CHACO_BERMEJO,"Bermejo, Chaco",UNION POR LA PATRIA,37.13,62.87,6755,11436,72.96,25433,18557,1.16,0.09,0.72,216,16,CHACO
158,158,CHACO_CHACABUCO,"Chacabuco, Chaco",LA LIBERTAD AVANZA,57.22,42.78,11413,8532,70.23,28932,20319,0.82,0.04,0.98,166,9,CHACO
159,159,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",LA LIBERTAD AVANZA,56.94,43.06,35521,26857,72.21,88122,63634,0.82,0.03,1.12,522,22,CHACO
160,160,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Santa Maria De Oro, Chaco",UNION POR LA PATRIA,47.04,52.96,3152,3548,66.01,10358,6837,1.42,0.01,0.57,97,1,CHACO
161,161,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",UNION POR LA PATRIA,34.77,65.23,2613,4902,69.2,11027,7631,0.9,0.09,0.52,69,7,CHACO
162,162,CHACO_GENERAL DONOVAN,"General Donovan, Chaco",UNION POR LA PATRIA,46.93,53.07,4766,5389,75.72,13667,10349,0.77,0.07,1.03,80,7,CHACO
163,163,CHACO_GENERAL GUEMES,"General Guemes, Chaco",UNION POR LA PATRIA,38.14,61.86,15228,24697,53.63,75517,40499,0.66,0.03,0.72,269,13,CHACO
164,164,CHACO_INDEPENDENCIA,"Independencia, Chaco",UNION POR LA PATRIA,39.08,60.92,5295,8253,67.09,20453,13722,0.74,0.02,0.5,102,3,CHACO
165,165,CHACO_LIBERTAD,"Libertad, Chaco",LA LIBERTAD AVANZA,53.13,46.87,5244,4626,77.88,12933,10072,0.97,0.01,1.02,98,1,CHACO
