,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
135,CATAMARCA_AMBATO,"Ambato, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.1,1.78,0.5,68.0,6.26,0.09,19.82,0.97,0.19,0.28,67,57,16,2172,200,3,633,31,6,9,76.47,4275,3269,1.96,0.0,0.34,64.0,0.0,11.0,CATAMARCA
136,CATAMARCA_ANCASTI,"Ancasti, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,0.93,0.57,0.72,53.33,5.23,0.14,37.85,0.79,0.22,0.22,13,8,10,744,73,2,528,11,3,3,64.8,2213,1434,2.16,0.0,0.56,31.0,0.0,8.0,CATAMARCA
137,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,4.17,2.36,1.28,58.77,6.0,6.56,18.08,2.22,0.28,0.29,373,211,114,5253,536,586,1616,198,25,26,70.8,13012,9212,1.75,0.08,1.15,161.0,7.0,106.0,CATAMARCA
138,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,0.65,0.43,0.22,68.75,5.17,0.22,22.63,0.65,0.22,1.08,3,2,1,319,24,1,105,3,1,5,48.86,1011,494,2.63,2.23,1.21,13.0,11.0,6.0,CATAMARCA
139,CATAMARCA_BELEN,"Belen, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.67,1.04,0.67,66.42,4.45,0.25,22.69,1.15,0.24,0.42,353,137,89,8770,587,33,2996,152,32,55,71.45,18923,13520,1.71,0.02,0.61,231.0,3.0,82.0,CATAMARCA
140,CATAMARCA_CAPAYAN,"Capayan, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.7,1.0,0.55,75.1,5.43,0.24,13.25,1.05,0.31,0.39,217,80,44,6032,436,19,1064,84,25,31,74.3,11100,8247,1.96,0.0,0.64,162.0,0.0,53.0,CATAMARCA
141,CATAMARCA_CAPITAL,"Capital, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,6.82,3.41,1.31,61.58,6.76,0.52,17.37,1.89,0.29,0.05,5148,2576,990,46498,5101,395,13119,1429,218,40,71.74,108477,77823,1.64,0.1,1.22,1280.0,80.0,949.0,CATAMARCA
142,CATAMARCA_EL ALTO,"El Alto, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,1.93,0.73,0.52,65.11,4.04,0.13,26.56,0.82,0.04,0.13,45,17,12,1515,94,3,618,19,1,3,70.02,3399,2380,1.93,0.0,0.29,46.0,0.0,7.0,CATAMARCA
143,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,4.28,2.04,0.92,67.79,4.66,0.22,18.45,1.24,0.19,0.19,289,138,62,4578,315,15,1246,84,13,13,78.39,8832,6923,1.69,0.01,0.75,117.0,1.0,52.0,CATAMARCA
144,CATAMARCA_LA PAZ,"La Paz, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.11,1.0,0.35,70.89,4.36,0.17,19.74,0.99,0.15,0.24,238,113,39,8007,493,19,2230,112,17,27,72.4,15989,11576,1.83,0.02,0.58,212.0,2.0,67.0,CATAMARCA
