,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
135,CATAMARCA_AMBATO,"Ambato, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,26.45,0.57,0.66,57.64,0.87,13.81,883,19,22,1924,29,461,81.81,4465,3653,8.38,0.11,0.14,306,4,5,CATAMARCA
136,CATAMARCA_ANCASTI,"Ancasti, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,42.86,0.21,0.05,51.97,0.67,4.24,828,4,1,1004,13,82,83.0,2464,2045,4.65,0.15,0.73,95,3,15,CATAMARCA
137,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.81,0.76,1.72,47.64,0.76,9.3,3868,74,167,4629,74,904,79.29,13266,10518,6.99,0.03,0.61,735,3,64,CATAMARCA
138,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.99,0.33,0.33,47.44,0.11,5.79,413,3,3,426,1,52,78.4,1199,940,4.26,0.0,0.21,40,0,2,CATAMARCA
139,CATAMARCA_BELEN,"Belen, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,38.9,0.49,0.85,50.99,0.49,8.28,5983,75,131,7841,76,1273,80.37,20120,16170,4.3,0.05,0.54,695,8,88,CATAMARCA
140,CATAMARCA_CAPAYAN,"Capayan, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,32.02,0.73,0.89,49.38,0.65,16.33,2691,61,75,4150,55,1372,77.63,11325,8792,3.29,0.56,0.57,289,49,50,CATAMARCA
141,CATAMARCA_CAPITAL,"Capital, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.41,1.25,2.47,38.04,1.37,21.46,28463,1005,1988,30579,1104,17247,75.63,111073,84006,3.24,0.15,0.92,2718,126,776,CATAMARCA
142,CATAMARCA_EL ALTO,"El Alto, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,33.98,0.56,0.51,55.47,0.86,8.62,792,13,12,1293,20,201,83.84,2965,2486,6.07,0.04,0.12,151,1,3,CATAMARCA
143,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.25,0.85,0.31,43.51,1.24,14.84,2306,50,18,2556,73,872,81.31,7700,6261,5.05,0.24,0.88,316,15,55,CATAMARCA
144,CATAMARCA_LA PAZ,"La Paz, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,31.34,2.75,1.3,53.97,0.54,10.09,1445,127,60,2488,25,465,59.38,8287,4921,5.69,0.14,0.49,280,7,24,CATAMARCA
145,CATAMARCA_PACLIN,"Paclin, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.77,0.43,0.04,48.89,0.83,4.03,1158,11,1,1237,21,102,81.52,3312,2700,5.96,0.07,0.26,161,2,7,CATAMARCA
146,CATAMARCA_POMAN,"Poman, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.36,0.33,0.91,55.48,0.58,7.34,2067,19,53,3243,34,429,84.17,7238,6092,3.51,0.08,0.46,214,5,28,CATAMARCA
147,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,30.63,1.1,1.68,47.09,2.84,16.66,4352,156,239,6691,404,2367,80.63,18822,15177,5.59,0.08,0.71,848,12,108,CATAMARCA
148,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,22.05,0.79,0.82,66.48,0.76,9.09,1444,52,54,4354,50,595,79.43,8728,6933,5.02,0.04,0.48,348,3,33,CATAMARCA
149,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.23,1.67,0.8,48.54,0.43,9.33,4327,184,88,5354,47,1029,75.88,15258,11578,3.94,0.29,0.52,456,33,60,CATAMARCA
150,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,36.73,0.7,1.49,44.31,0.86,15.92,5509,105,223,6645,129,2387,76.85,20740,15939,5.03,0.15,0.73,801,24,116,CATAMARCA
283,JUJUY_COCHINOCA,"Cochinoca, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.09,0.36,1.37,42.05,0.73,46.4,609,24,92,2818,49,3110,79.88,8991,7182,5.95,0.07,0.67,427,5,48,JUJUY
284,JUJUY_EL CARMEN,"El Carmen, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),15.6,0.4,1.42,36.82,0.46,45.3,7800,202,709,18412,232,22654,86.58,60764,52609,4.03,0.11,0.81,2120,56,424,JUJUY
285,JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.11,0.69,3.87,31.75,1.08,39.49,34866,1048,5835,47909,1636,59577,83.1,191425,159074,4.07,0.14,0.94,6479,227,1497,JUJUY
286,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.54,0.6,1.69,41.9,0.95,45.33,958,60,170,4209,95,4553,78.66,13802,10856,6.48,0.05,0.94,704,5,102,JUJUY
287,JUJUY_LEDESMA,"Ledesma, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),12.52,0.44,1.55,41.99,0.35,43.15,5085,178,631,17052,141,17522,81.87,51987,42560,3.69,0.11,0.78,1572,45,334,JUJUY
288,JUJUY_PALPALA,"Palpala, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),16.44,0.34,2.79,31.16,0.76,48.5,5248,110,892,9949,243,15484,86.19,38983,33601,4.17,0.03,0.79,1401,10,264,JUJUY
289,JUJUY_RINCONADA,"Rinconada, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,6.16,0.25,0.75,60.5,0.25,32.08,49,2,6,481,2,255,73.67,1185,873,7.56,0.23,1.15,66,2,10,JUJUY
