,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
135,CATAMARCA_AMBATO,"Ambato, Catamarca",FRENTE DE TODOS,12.02,0.59,65.42,0.14,0.06,21.44,0.14,0.2,0.0,0.0,430,21,2340,5,2,767,5,7,0,0,81.02,4932,3996,9.86,0.4,0.23,394,16,9,CATAMARCA
136,CATAMARCA_ANCASTI,"Ancasti, Catamarca",FRENTE DE TODOS,0.79,1.04,60.87,0.37,0.18,36.2,0.43,0.12,0.0,0.0,13,17,997,6,3,593,7,2,0,0,71.5,2747,1964,15.12,0.81,0.66,297,16,13,CATAMARCA
137,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta de la Sierra, Catamarca",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,CATAMARCA
138,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,CATAMARCA
140,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",FRENTE DE TODOS,5.48,1.07,58.42,0.97,0.18,33.5,0.28,0.1,0.0,0.0,486,95,5185,86,16,2973,25,9,0,0,63.81,15379,9814,8.92,0.17,0.48,875,17,47,CATAMARCA
141,CATAMARCA_BELEN,"Belen, Catamarca",FRENTE DE TODOS,3.54,0.83,57.21,0.69,0.2,36.91,0.42,0.18,0.01,0.01,502,118,8106,98,28,5230,60,25,1,2,71.9,21715,15613,8.26,0.12,0.87,1289,18,136,CATAMARCA
142,CATAMARCA_CAPAYAN,"Capayan, Catamarca",FRENTE DE TODOS,3.46,0.66,78.65,0.43,0.11,16.17,0.35,0.12,0.02,0.02,285,54,6477,35,9,1332,29,10,2,2,62.85,14192,8919,6.75,0.26,0.66,602,23,59,CATAMARCA
143,CATAMARCA_CAPITAL,"Capital, Catamarca",FRENTE DE TODOS,9.26,2.08,58.08,1.52,0.27,27.89,0.48,0.2,0.0,0.21,6824,1529,42785,1121,198,20545,357,148,1,158,60.46,132697,80232,6.65,0.27,1.27,5333,213,1020,CATAMARCA
144,CATAMARCA_EL ALTO,"El Alto, Catamarca",FRENTE DE TODOS,3.13,0.42,72.91,0.69,0.15,22.09,0.53,0.08,0.0,0.0,82,11,1908,18,4,578,14,2,0,0,74.41,3869,2879,7.95,0.59,0.56,229,17,16,CATAMARCA
145,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",FRENTE DE TODOS,6.44,1.47,58.61,1.29,0.29,31.35,0.38,0.12,0.01,0.03,473,108,4302,95,21,2301,28,9,1,2,73.77,11133,8213,9.23,0.37,1.03,758,30,85,CATAMARCA
146,CATAMARCA_LA PAZ,"La Paz, Catamarca",FRENTE DE TODOS,6.08,0.47,68.62,0.98,0.16,23.4,0.21,0.07,0.0,0.02,726,56,8196,117,19,2795,25,8,0,2,65.46,20042,13119,8.2,0.18,0.57,1076,24,75,CATAMARCA
147,CATAMARCA_PACLIN,"Paclin, Catamarca",FRENTE DE TODOS,2.31,0.34,64.35,0.25,0.08,32.32,0.17,0.17,0.0,0.0,55,8,1531,6,2,769,4,4,0,0,71.01,3857,2739,12.6,0.22,0.33,345,6,9,CATAMARCA
148,CATAMARCA_POMAN,"Poman, Catamarca",FRENTE DE TODOS,1.93,0.57,74.47,1.08,0.05,21.55,0.22,0.13,0.0,0.0,122,36,4703,68,3,1361,14,8,0,0,75.72,8938,6768,6.38,0.18,0.13,432,12,9,CATAMARCA
149,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",FRENTE DE TODOS,3.5,0.52,78.9,0.77,0.12,15.72,0.26,0.12,0.0,0.1,242,36,5457,53,8,1087,18,8,0,7,73.03,10244,7481,6.36,0.31,0.88,476,23,66,CATAMARCA
150,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",FRENTE DE TODOS,7.19,0.75,61.9,0.56,0.19,28.94,0.31,0.16,0.0,0.01,775,81,6673,60,21,3120,33,17,0,1,64.08,18516,11865,8.08,0.19,0.87,959,22,103,CATAMARCA
151,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",FRENTE DE TODOS,6.6,2.12,58.82,1.18,0.2,30.3,0.57,0.17,0.01,0.02,1034,332,9210,185,32,4745,89,27,2,3,66.39,25155,16700,5.09,0.25,0.9,850,41,150,CATAMARCA
283,JUJUY_COCHINOCA,"Cochinoca, Jujuy",FRENTE DE TODOS,9.06,3.97,57.87,7.5,0.32,18.08,0.67,0.31,0.17,2.05,530,232,3386,439,19,1058,39,18,10,120,59.9,10514,6298,4.6,0.3,2.19,290,19,138,JUJUY
284,JUJUY_EL CARMEN,"El Carmen, Jujuy",FRENTE DE TODOS,10.36,3.12,48.57,6.1,0.25,28.07,0.44,0.3,0.05,2.73,4756,1433,22302,2800,114,12890,200,139,24,1255,64.93,73848,47951,2.9,0.25,1.1,1390,121,527,JUJUY
285,JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",FRENTE DE TODOS,11.84,3.73,38.27,4.18,0.32,37.09,0.5,0.28,0.1,3.69,15660,4930,50621,5532,421,49056,661,376,131,4878,64.69,217915,140977,4.32,0.16,1.71,6084,223,2404,JUJUY
286,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",FRENTE DE TODOS,10.18,5.02,58.89,4.97,0.3,17.16,0.69,0.36,0.2,2.23,810,399,4685,395,24,1365,55,29,16,177,59.48,14415,8574,3.72,1.57,1.92,319,135,165,JUJUY
