,Unnamed: 0,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
135,135,CATAMARCA_AMBATO,"Ambato, Catamarca",UNION POR LA PATRIA,44.24,55.76,1824,2299,76.63,5495,4211,1.12,0.07,0.9,47,3,CATAMARCA
136,136,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,CATAMARCA
137,137,CATAMARCA_ANCASTI,"Ancasti, Catamarca",UNION POR LA PATRIA,39.57,60.43,713,1089,57.73,3208,1852,0.92,0.0,1.78,17,0,CATAMARCA
138,138,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",LA LIBERTAD AVANZA,51.7,48.3,5768,5388,69.75,16365,11415,1.01,0.02,1.24,115,2,CATAMARCA
139,139,CATAMARCA_BELEN,"Belen, Catamarca",LA LIBERTAD AVANZA,52.9,47.1,8108,7219,64.62,24328,15720,1.27,0.05,1.18,199,8,CATAMARCA
140,140,CATAMARCA_CAPAYAN,"Capayan, Catamarca",UNION POR LA PATRIA,43.48,56.52,4375,5687,67.57,15227,10289,1.11,0.07,1.03,114,7,CATAMARCA
141,141,CATAMARCA_CAPITAL,"Capital, Catamarca",LA LIBERTAD AVANZA,57.92,42.08,56494,41036,70.75,141673,100236,1.14,0.11,1.45,1145,112,CATAMARCA
142,142,CATAMARCA_EL ALTO,"El Alto, Catamarca",UNION POR LA PATRIA,34.26,65.74,1098,2107,75.43,4343,3276,1.07,0.0,1.1,35,0,CATAMARCA
143,143,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",LA LIBERTAD AVANZA,53.76,46.24,4695,4038,74.68,12239,9140,2.87,0.01,1.58,262,1,CATAMARCA
144,144,CATAMARCA_LA PAZ,"La Paz, Catamarca",UNION POR LA PATRIA,37.83,62.17,5960,9794,76.71,21019,16123,1.31,0.04,0.94,211,6,CATAMARCA
145,145,CATAMARCA_PACLIN,"Paclin, Catamarca",UNION POR LA PATRIA,41.24,58.76,1366,1946,73.81,4555,3362,0.62,0.36,0.51,21,12,CATAMARCA
146,146,CATAMARCA_POMAN,"Poman, Catamarca",UNION POR LA PATRIA,44.95,55.05,3111,3810,72.38,9726,7040,0.7,0.0,0.99,49,0,CATAMARCA
147,147,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",LA LIBERTAD AVANZA,56.3,43.7,8642,6707,73.0,21493,15689,0.83,0.04,1.29,131,6,CATAMARCA
148,148,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",UNION POR LA PATRIA,40.36,59.64,3360,4966,74.74,11327,8466,0.76,0.0,0.9,64,0,CATAMARCA
149,149,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",LA LIBERTAD AVANZA,54.81,45.19,6999,5770,66.82,19710,13170,1.48,0.02,1.55,195,2,CATAMARCA
150,150,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",LA LIBERTAD AVANZA,55.54,44.46,11075,8865,72.77,28154,20488,1.03,0.05,1.59,211,11,CATAMARCA
280,280,JUJUY_COCHINOCA,"Cochinoca, Jujuy",LA LIBERTAD AVANZA,61.35,38.65,4370,2753,67.81,11195,7591,3.16,0.05,2.95,240,4,JUJUY
281,281,JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,63.72,36.28,108161,61591,76.26,229790,175228,1.03,0.05,2.04,1812,93,JUJUY
286,286,JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,63.21,36.79,41559,24192,79.78,84236,67200,0.72,0.05,1.39,481,31,JUJUY
287,287,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",LA LIBERTAD AVANZA,54.75,45.25,5659,4677,72.68,14728,10705,0.78,0.1,2.57,83,11,JUJUY
288,288,JUJUY_SUSQUES,"Susques, Jujuy",,0.0,0.0,0,0,0.0,0,0,"Susques, Jujuy",0.0,0.0,0,0,JUJUY
289,289,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",,0.0,0.0,0,0,0.0,0,0,"Santa Victoria, Salta",0.0,0.0,0,0,SALTA
290,290,JUJUY_LEDESMA,"Ledesma, Jujuy",LA LIBERTAD AVANZA,50.64,49.36,25941,25288,75.55,69266,52332,0.79,0.04,1.28,412,19,JUJUY
291,291,JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,60.28,39.72,22750,14991,79.69,48581,38714,0.66,0.06,1.79,256,25,JUJUY
292,292,JUJUY_RINCONADA,"Rinconada, Jujuy",UNION POR LA PATRIA,48.11,51.89,433,467,55.91,1651,923,0.54,0.0,1.95,5,0,JUJUY
293,293,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0.0,0.0,0,0,0.0,0,0,"Valle Grande, Jujuy",0.0,0.0,0,0,JUJUY
294,294,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,63.07,36.93,2890,1692,78.25,6037,4724,0.76,0.08,2.16,36,4,JUJUY
295,295,JUJUY_SAN PEDRO,"San Pedro, Jujuy",UNION POR LA PATRIA,47.31,52.69,23681,26379,77.76,65745,51123,0.67,0.06,1.35,342,32,JUJUY
296,296,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,41.26,58.74,4771,6792,76.04,15463,11758,0.6,0.02,1.05,70,2,JUJUY
