,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
135,135,CATAMARCA_AMBATO,"Ambato, Catamarca",UNION POR LA PATRIA,0.74,4.13,17.8,23.27,54.06,27,150,647,846,1965,75.18,5495,4131,11.45,0.34,0.22,473,14,CATAMARCA
136,136,CATAMARCA_ANCASTI,"Ancasti, Catamarca",JUNTOS POR EL CAMBIO,1.3,3.42,42.3,11.66,41.32,28,74,914,252,893,75.27,3207,2414,9.44,0.7,0.33,228,17,CATAMARCA
137,137,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",UNION POR LA PATRIA,1.4,3.9,24.46,28.1,42.15,154,430,2700,3102,4652,72.79,16365,11912,6.47,0.19,0.67,771,23,CATAMARCA
138,138,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",UNION POR LA PATRIA,1.69,3.58,25.42,33.52,35.78,18,38,270,356,380,72.78,1800,1310,10.69,6.95,1.3,140,91,CATAMARCA
139,139,CATAMARCA_BELEN,"Belen, Catamarca",UNION POR LA PATRIA,0.89,3.61,25.17,27.03,43.3,154,627,4366,4689,7512,78.36,24328,19064,8.25,0.22,0.53,1573,42,CATAMARCA
140,140,CATAMARCA_CAPAYAN,"Capayan, Catamarca",UNION POR LA PATRIA,1.34,4.04,11.57,28.56,54.49,131,395,1132,2794,5331,69.05,15207,10501,6.09,0.11,0.64,639,12,CATAMARCA
141,141,CATAMARCA_CAPITAL,"Capital, Catamarca",UNION POR LA PATRIA,2.22,8.68,16.01,36.13,36.96,2121,8273,15264,34447,35237,70.23,141661,99487,3.07,0.24,0.85,3056,241,CATAMARCA
142,142,CATAMARCA_EL ALTO,"El Alto, Catamarca",UNION POR LA PATRIA,0.91,2.68,17.27,17.71,61.44,29,85,548,562,1950,79.88,4343,3469,7.84,0.43,0.23,272,15,CATAMARCA
143,143,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",UNION POR LA PATRIA,1.22,6.28,17.39,34.76,40.35,90,465,1288,2575,2989,67.45,12235,8253,9.41,0.25,0.58,777,21,CATAMARCA
144,144,CATAMARCA_LA PAZ,"La Paz, Catamarca",UNION POR LA PATRIA,0.86,3.95,12.29,23.85,59.05,123,562,1750,3397,8411,71.27,21018,14980,4.25,0.14,0.53,636,21,CATAMARCA
145,145,CATAMARCA_PACLIN,"Paclin, Catamarca",UNION POR LA PATRIA,0.85,2.74,18.67,21.92,55.82,30,97,661,776,1976,81.49,4554,3711,3.91,0.4,0.3,145,15,CATAMARCA
146,146,CATAMARCA_POMAN,"Poman, Catamarca",UNION POR LA PATRIA,0.64,3.62,12.63,26.61,56.5,44,249,869,1831,3888,80.46,9726,7826,11.16,0.24,0.68,873,19,CATAMARCA
147,147,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",UNION POR LA PATRIA,1.24,7.07,15.36,38.07,38.25,187,1065,2313,5734,5761,76.57,21483,16449,7.57,0.09,0.78,1246,15,CATAMARCA
148,148,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",UNION POR LA PATRIA,0.77,3.12,12.53,27.59,55.99,64,259,1039,2289,4644,78.74,11324,8916,6.27,0.24,0.46,559,21,CATAMARCA
149,149,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",UNION POR LA PATRIA,0.77,4.34,21.37,29.15,44.37,106,598,2941,4012,6106,74.58,19707,14697,5.57,0.23,0.55,819,34,CATAMARCA
150,150,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",UNION POR LA PATRIA,1.8,7.98,16.26,34.47,39.5,360,1600,3258,6908,7917,74.12,28153,20866,2.86,0.19,0.89,597,40,CATAMARCA
283,283,JUJUY_COCHINOCA,"Cochinoca, Jujuy",UNION POR LA PATRIA,9.99,8.11,10.61,35.03,36.25,813,660,863,2850,2949,75.25,11195,8424,1.86,0.13,1.44,157,11,JUJUY
284,284,JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,3.68,7.7,22.64,39.05,26.94,6453,13505,39727,68530,47278,78.36,229790,180071,1.41,0.07,1.07,2531,121,JUJUY
285,285,JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,2.68,5.89,18.9,45.53,26.99,1818,3996,12815,30873,18304,82.16,84236,69205,1.11,0.09,0.82,765,64,JUJUY
286,286,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",UNION POR LA PATRIA,8.61,9.43,11.34,32.08,38.55,948,1038,1248,3532,4244,77.2,14728,11370,1.58,0.12,1.46,180,14,JUJUY
287,287,JUJUY_LEDESMA,"Ledesma, Jujuy",UNION POR LA PATRIA,2.8,5.86,15.53,33.82,42.0,1466,3066,8133,17708,21992,77.46,69266,53654,1.37,0.08,0.95,737,44,JUJUY
288,288,JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,4.37,9.59,18.12,37.71,30.21,1625,3561,6732,14010,11221,78.46,48581,38119,1.43,0.05,1.06,547,19,JUJUY
289,289,JUJUY_RINCONADA,"Rinconada, Jujuy",UNION POR LA PATRIA,2.94,3.6,16.3,25.97,51.18,31,38,172,274,540,64.99,1651,1073,1.12,0.09,0.47,12,1,JUJUY
290,290,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,2.34,5.55,26.2,39.09,26.83,112,266,1256,1874,1286,81.08,6037,4895,1.08,0.16,0.82,53,8,JUJUY
291,291,JUJUY_SAN PEDRO,"San Pedro, Jujuy",UNION POR LA PATRIA,2.09,5.37,21.91,30.71,39.91,1072,2753,11226,15735,20451,79.62,65745,52344,1.26,0.02,0.83,661,12,JUJUY
292,292,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,1.02,2.22,25.96,26.84,43.97,124,269,3151,3258,5337,79.88,15463,12352,1.21,0.09,0.43,149,11,JUJUY
293,293,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",UNION POR LA PATRIA,2.38,2.55,24.55,26.7,43.83,42,45,434,472,775,71.27,2555,1821,1.43,0.27,1.21,26,5,JUJUY
294,294,JUJUY_SUSQUES,"Susques, Jujuy",UNION POR LA PATRIA,6.57,5.11,15.38,33.58,39.35,140,109,328,716,839,64.13,3479,2231,2.6,0.0,1.84,58,0,JUJUY
295,295,JUJUY_TILCARA,"Tilcara, Jujuy",UNION POR LA PATRIA,5.7,5.28,13.85,33.5,41.66,506,468,1229,2972,3696,76.03,11966,9098,1.44,0.08,0.98,131,7,JUJUY
296,296,JUJUY_TUMBAYA,"Tumbaya, Jujuy",UNION POR LA PATRIA,3.77,3.57,25.78,29.87,37.01,152,144,1040,1205,1493,80.38,5128,4122,1.16,0.07,0.9,48,3,JUJUY
297,297,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",UNION POR LA PATRIA,1.42,1.6,35.11,14.72,47.16,8,9,198,83,266,19.61,2906,570,0.35,0.53,0.18,2,3,JUJUY
298,298,JUJUY_YAVI,"Yavi, Jujuy",UNION POR LA PATRIA,5.24,6.39,11.63,36.38,40.36,696,848,1543,4829,5356,75.0,18224,13668,1.43,0.08,1.38,196,11,JUJUY
321,321,LA RIOJA_ARAUCO,"Arauco, La Rioja",UNION POR LA PATRIA,0.59,5.17,8.63,41.18,44.43,60,524,875,4174,4503,79.17,13161,10419,1.84,0.08,0.8,192,8,LA RIOJA
322,322,LA RIOJA_CAPITAL,"Capital, La Rioja",LA LIBERTAD AVANZA,1.02,9.54,12.85,40.2,36.4,1324,12365,16661,52122,47197,80.73,163911,132333,1.22,0.05,0.75,1614,61,LA RIOJA
323,323,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",UNION POR LA PATRIA,0.62,5.06,10.34,28.2,55.78,26,211,431,1176,2326,82.34,5153,4243,1.13,0.07,0.52,48,3,LA RIOJA
324,324,LA RIOJA_CHAMICAL,"Chamical, La Rioja",UNION POR LA PATRIA,0.61,9.11,12.07,34.4,43.81,58,869,1152,3283,4181,76.89,12706,9770,1.48,0.04,0.8,145,4,LA RIOJA
325,325,LA RIOJA_CHILECITO,"Chilecito, La Rioja",LA LIBERTAD AVANZA,0.93,8.66,11.68,42.01,36.73,318,2960,3993,14366,12560,80.07,43967,35206,2.26,0.02,0.58,797,7,LA RIOJA
326,326,LA RIOJA_CORONEL FELIPE VARELA,"Coronel Felipe Varela, La Rioja",UNION POR LA PATRIA,0.93,5.53,9.49,32.6,51.45,67,399,685,2354,3715,81.66,9060,7398,2.05,0.01,0.34,152,1,LA RIOJA
327,327,LA RIOJA_FAMATINA,"Famatina, La Rioja",UNION POR LA PATRIA,1.06,6.39,12.93,30.07,49.55,46,278,563,1309,2157,81.71,5451,4454,1.48,0.02,0.76,66,1,LA RIOJA
328,328,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",UNION POR LA PATRIA,0.59,3.75,7.51,28.72,59.43,12,77,154,589,1219,78.62,2671,2100,1.48,0.29,0.57,31,6,LA RIOJA
329,329,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",UNION POR LA PATRIA,0.45,9.88,13.49,33.01,43.16,22,482,658,1610,2105,74.05,6743,4993,1.38,0.04,0.9,69,2,LA RIOJA
