,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
0,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",ALIANZA CAMBIEMOS,47.96,0.76,0.85,33.37,0.14,3.85,12.34,0.24,0.09,0.11,0.28,5054,80,90,3517,15,406,1300,25,9,12,30,78.63,14241,11198,5.56,0.06,0.27,623,7,30,BUENOS AIRES
1,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.17,0.3,0.87,44.34,0.19,2.52,12.14,0.27,0.1,0.09,0.01,2737,21,61,3098,13,176,848,19,7,6,1,81.05,9209,7464,6.2,0.01,0.17,463,1,13,BUENOS AIRES
3,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.84,0.73,0.88,39.49,0.13,3.88,15.51,0.18,0.07,0.13,0.15,6533,122,148,6643,22,653,2609,30,12,22,26,76.68,23322,17883,5.63,0.01,0.31,1006,2,55,BUENOS AIRES
5,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",ALIANZA CAMBIEMOS,40.2,0.64,2.7,37.37,1.55,3.51,13.46,0.17,0.11,0.16,0.13,4480,71,301,4164,173,391,1500,19,12,18,14,74.74,16377,12240,8.56,0.02,0.38,1048,3,46,BUENOS AIRES
6,BUENOS AIRES_AZUL,"Azul, Buenos Aires",ALIANZA CAMBIEMOS,36.2,0.84,2.21,34.33,0.18,10.42,14.81,0.36,0.14,0.23,0.28,13824,322,842,13108,69,3977,5654,137,54,88,108,74.98,55030,41263,6.21,0.05,1.21,2562,19,499,BUENOS AIRES
7,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",ALIANZA CAMBIEMOS,38.65,1.36,5.13,24.92,0.68,8.08,19.65,0.59,0.19,0.5,0.26,65416,2298,8675,42178,1143,13681,33248,992,320,842,442,74.08,242698,179794,4.62,0.05,1.2,8311,82,2166,BUENOS AIRES
8,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",ALIANZA CAMBIEMOS,44.58,2.96,1.69,27.77,0.81,2.46,18.73,0.4,0.07,0.22,0.32,12028,800,456,7492,218,663,5053,108,19,59,86,76.8,37315,28657,5.2,0.03,0.61,1490,10,175,BUENOS AIRES
9,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.77,1.36,2.71,39.37,0.21,2.3,24.56,0.23,0.1,0.2,0.21,5452,258,514,7461,39,435,4655,43,19,37,39,74.1,27086,20072,4.6,0.36,0.62,923,72,125,BUENOS AIRES
12,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",ALIANZA CAMBIEMOS,42.33,0.8,1.37,37.26,0.9,3.16,13.26,0.18,0.13,0.28,0.32,8856,168,286,7796,189,661,2775,38,28,59,66,76.36,29462,22498,6.27,0.04,0.69,1410,10,156,BUENOS AIRES
13,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,42.17,0.71,1.43,43.04,0.24,2.02,9.79,0.21,0.11,0.11,0.17,10296,173,348,10507,58,494,2391,52,27,27,41,75.49,34151,25779,4.53,0.01,0.75,1168,3,194,BUENOS AIRES
