,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
0,0.0,BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",JUNTOS POR EL CAMBIO,4.39,1.39,42.3,0.84,49.88,1.2,1072,339,10341,205,12194,294,82.5,30518,25176,2.16,0.23,0.5,545,59,127,BUENOS AIRES
1,1.0,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",JUNTOS POR EL CAMBIO,6.49,1.55,38.07,0.53,51.96,1.4,674,161,3953,55,5395,145,77.63,13709,10642,1.82,0.24,0.37,194,26,39,BUENOS AIRES
2,2.0,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",JUNTOS POR EL CAMBIO,4.82,1.48,45.36,0.59,46.7,1.06,369,113,3472,45,3575,81,84.65,9338,7905,2.59,0.35,0.22,205,28,17,BUENOS AIRES
4,4.0,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",JUNTOS POR EL CAMBIO,6.81,1.15,44.08,1.18,45.72,1.06,1374,231,8891,239,9222,214,84.41,24471,20656,1.86,0.19,0.29,385,40,60,BUENOS AIRES
6,6.0,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",FRENTE DE TODOS,6.34,1.52,45.8,1.06,44.07,1.21,836,201,6039,140,5810,159,82.65,16548,13677,3.07,0.2,0.32,420,28,44,BUENOS AIRES
7,7.0,BUENOS AIRES_AZUL,"Azul, Buenos Aires",JUNTOS POR EL CAMBIO,5.82,2.15,42.93,0.87,46.88,1.36,2425,895,17893,363,19538,566,80.39,53476,42990,2.02,0.11,0.92,868,46,396,BUENOS AIRES
8,8.0,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",JUNTOS POR EL CAMBIO,5.95,3.18,35.67,2.37,50.94,1.89,11280,6024,67617,4499,96580,3583,81.58,238363,194465,1.49,0.16,0.87,2890,309,1683,BUENOS AIRES
9,9.0,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",JUNTOS POR EL CAMBIO,7.68,1.58,36.3,1.91,51.11,1.42,2351,483,11117,586,15656,436,82.07,38378,31496,1.96,0.21,0.58,618,65,184,BUENOS AIRES
10,10.0,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",FRENTE DE TODOS,5.01,1.5,55.15,1.65,35.42,1.27,1163,348,12807,384,8225,296,84.52,28548,24130,3.0,0.11,0.64,725,27,155,BUENOS AIRES
11,11.0,BUENOS AIRES_BENITO JUAREZ,"Benito Juarez, Buenos Aires",FRENTE DE TODOS,9.21,2.3,53.76,0.56,32.85,1.31,1192,298,6955,72,4250,169,80.84,16444,13294,1.93,0.2,0.56,257,27,74,BUENOS AIRES
14,14.0,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",JUNTOS POR EL CAMBIO,6.81,2.25,43.64,0.46,45.82,1.03,1631,538,10455,111,10977,246,81.62,30291,24725,2.37,0.26,0.47,586,64,117,BUENOS AIRES
15,15.0,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",FRENTE DE TODOS,6.35,1.39,45.86,0.7,44.76,0.94,1841,403,13299,204,12980,274,84.35,35138,29638,1.29,0.15,0.72,381,44,212,BUENOS AIRES
18,18.0,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",JUNTOS POR EL CAMBIO,10.39,1.05,38.09,1.27,48.21,0.99,1060,107,3886,130,4918,101,84.66,12345,10451,1.74,0.23,0.41,182,24,43,BUENOS AIRES
19,19.0,BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",JUNTOS POR EL CAMBIO,5.03,1.88,40.83,0.7,50.33,1.23,754,282,6124,105,7550,185,82.08,18747,15387,2.07,0.25,0.19,319,38,30,BUENOS AIRES
20,20.0,BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",FRENTE DE TODOS,4.23,1.76,47.21,0.79,45.05,0.97,337,140,3762,63,3590,77,85.87,9576,8223,2.49,0.26,0.34,205,21,28,BUENOS AIRES
21,21.0,BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",JUNTOS POR EL CAMBIO,7.07,0.94,42.76,0.71,47.75,0.78,729,97,4411,73,4926,80,85.04,12496,10627,2.62,0.23,0.08,278,24,9,BUENOS AIRES
22,22.0,BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",FRENTE DE TODOS,3.52,1.21,47.52,0.58,45.45,1.73,207,71,2798,34,2676,102,79.9,7618,6087,2.32,0.31,0.64,141,19,39,BUENOS AIRES
24,24.0,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",FRENTE DE TODOS,5.27,2.06,47.13,0.66,43.72,1.15,1758,688,15713,221,14575,385,84.16,40490,34078,1.37,0.13,0.66,468,46,224,BUENOS AIRES
25,25.0,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",JUNTOS POR EL CAMBIO,7.16,2.17,39.29,0.7,49.35,1.32,1874,569,10279,184,12910,346,83.17,32534,27057,2.9,0.18,0.23,786,48,61,BUENOS AIRES
26,26.0,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",FRENTE DE TODOS,12.07,1.47,49.31,0.51,35.48,1.16,5658,691,23117,239,16633,544,84.54,56836,48051,1.65,0.19,0.58,795,93,281,BUENOS AIRES
27,27.0,BUENOS AIRES_COLON,"Colon, Buenos Aires",FRENTE DE TODOS,4.42,1.82,55.02,1.2,36.15,1.38,748,307,9303,203,6112,234,83.58,20595,17213,1.29,0.15,0.34,222,25,59,BUENOS AIRES
28,28.0,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",JUNTOS POR EL CAMBIO,6.11,1.38,38.86,0.59,52.05,1.0,659,149,4189,64,5610,108,83.68,13244,11083,1.98,0.32,0.44,219,36,49,BUENOS AIRES
29,29.0,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",JUNTOS POR EL CAMBIO,5.45,2.64,41.75,2.02,46.93,1.2,846,410,6477,314,7280,186,80.82,19770,15979,2.29,0.18,0.45,366,28,72,BUENOS AIRES
30,30.0,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",JUNTOS POR EL CAMBIO,6.62,1.99,24.42,1.74,63.21,2.01,2483,748,9162,654,23716,756,81.36,47203,38405,1.56,0.08,0.67,598,29,259,BUENOS AIRES
31,31.0,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",JUNTOS POR EL CAMBIO,7.35,2.39,43.3,0.9,44.13,1.93,1969,641,11601,240,11824,516,82.55,33425,27594,1.9,0.23,0.78,524,64,215,BUENOS AIRES
32,32.0,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",FRENTE DE TODOS,4.47,1.36,48.68,0.5,43.84,1.15,529,161,5757,59,5184,136,83.77,14618,12246,2.73,0.24,0.46,334,30,56,BUENOS AIRES
33,33.0,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",JUNTOS POR EL CAMBIO,3.86,1.38,40.59,1.08,52.11,0.99,752,269,7914,210,10160,194,85.54,23600,20187,2.65,0.2,0.56,535,40,113,BUENOS AIRES
40,40.0,BUENOS AIRES_FLORENTINO AMEGHINO,"Florentino Ameghino, Buenos Aires",JUNTOS POR EL CAMBIO,2.72,1.25,42.1,0.31,53.17,0.45,193,89,2988,22,3774,32,90.31,7981,7208,1.1,0.14,0.29,79,10,21,BUENOS AIRES
41,41.0,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",FRENTE DE TODOS,7.82,1.95,45.53,1.45,41.94,1.3,2127,531,12380,393,11403,354,80.43,34596,27824,1.52,0.21,0.56,422,58,156,BUENOS AIRES
42,42.0,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",FRENTE DE TODOS,3.77,1.13,46.89,0.48,46.67,1.07,254,76,3158,32,3143,72,85.16,8213,6994,3.2,0.24,0.26,224,17,18,BUENOS AIRES
43,43.0,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",JUNTOS POR EL CAMBIO,4.33,0.92,42.21,0.25,51.49,0.8,530,113,5164,30,6300,98,84.01,14896,12514,1.8,0.13,0.3,225,16,38,BUENOS AIRES
44,44.0,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",JUNTOS POR EL CAMBIO,5.07,1.54,41.95,0.62,49.72,1.09,650,197,5373,80,6368,140,84.49,15591,13173,2.12,0.23,0.43,279,30,56,BUENOS AIRES
45,45.0,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",FRENTE DE TODOS,3.58,1.18,48.38,0.29,45.69,0.88,73,24,987,6,932,18,86.44,2493,2155,4.64,0.46,0.23,100,10,5,BUENOS AIRES
46,46.0,BUENOS AIRES_GENERAL LA MADRID,"General La Madrid, Buenos Aires",JUNTOS POR EL CAMBIO,4.56,2.01,44.4,1.25,46.52,1.27,333,147,3245,91,3400,93,83.54,9192,7679,3.46,0.34,1.02,266,26,78,BUENOS AIRES
48,48.0,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",JUNTOS POR EL CAMBIO,3.27,1.4,44.31,1.26,48.72,1.05,112,48,1518,43,1669,36,83.18,4220,3510,1.6,0.17,0.63,56,6,22,BUENOS AIRES
49,49.0,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",JUNTOS POR EL CAMBIO,5.66,2.41,42.01,0.98,47.77,1.16,781,333,5794,135,6589,160,80.56,17582,14164,2.4,0.11,0.12,340,15,17,BUENOS AIRES
50,50.0,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",FRENTE DE TODOS,4.01,1.56,48.8,1.21,43.11,1.31,363,141,4422,110,3906,119,85.94,10828,9306,2.16,0.24,0.24,201,22,22,BUENOS AIRES
51,51.0,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",FRENTE DE TODOS,4.83,1.9,50.11,0.72,41.64,0.8,376,148,3900,56,3241,62,84.64,9518,8056,2.64,0.14,0.61,213,11,49,BUENOS AIRES
52,52.0,BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",JUNTOS POR EL CAMBIO,7.0,2.54,42.84,1.28,44.78,1.56,27857,10096,170429,5073,178154,6220,77.47,528171,409155,1.72,0.12,0.93,7041,490,3795,BUENOS AIRES
55,55.0,BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",FRENTE DE TODOS,4.4,1.0,47.53,0.55,45.76,0.75,565,129,6105,71,5878,96,85.35,15428,13168,2.03,0.14,0.3,267,18,39,BUENOS AIRES
56,56.0,BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",JUNTOS POR EL CAMBIO,5.85,1.22,39.83,0.83,51.05,1.21,1149,240,7820,163,10022,238,80.53,25049,20171,1.93,0.16,0.58,389,33,117,BUENOS AIRES
57,57.0,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",FRENTE DE TODOS,4.55,1.5,54.59,0.55,37.32,1.5,365,120,4379,44,2994,120,83.5,10200,8517,5.1,0.27,0.45,434,23,38,BUENOS AIRES
58,58.0,BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",FRENTE DE TODOS,3.81,1.16,46.87,0.59,46.36,1.21,292,89,3594,45,3555,93,82.82,9595,7947,2.99,0.3,0.21,238,24,17,BUENOS AIRES
59,59.0,BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",FRENTE DE TODOS,4.23,0.99,46.82,0.88,46.08,0.99,268,63,2965,56,2918,63,80.7,8097,6534,2.45,0.29,0.34,160,19,22,BUENOS AIRES
63,63.0,BUENOS AIRES_JUNIN,"Junin, Buenos Aires",JUNTOS POR EL CAMBIO,6.54,1.59,43.89,0.87,45.9,1.21,4077,988,27351,540,28605,757,82.49,77129,63627,1.36,0.12,0.58,863,77,369,BUENOS AIRES
64,64.0,BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",FRENTE DE TODOS,5.82,3.02,46.21,1.89,41.18,1.88,2954,1535,23449,958,20896,955,77.94,67052,52261,2.2,0.17,0.53,1150,89,275,BUENOS AIRES
68,68.0,BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",FRENTE DE TODOS,3.51,1.53,54.96,0.61,37.93,1.46,259,113,4061,45,2803,108,82.41,9201,7583,1.6,0.34,0.62,121,26,47,BUENOS AIRES
69,69.0,BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",FRENTE DE TODOS,6.83,1.83,48.02,0.73,41.29,1.31,1154,309,8117,123,6979,222,82.59,21225,17529,2.86,0.26,0.44,502,45,78,BUENOS AIRES
70,70.0,BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",FRENTE DE TODOS,4.56,1.32,48.85,0.64,43.83,0.8,495,143,5303,69,4758,87,83.13,13346,11095,1.6,0.05,0.51,178,5,57,BUENOS AIRES
71,71.0,BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",JUNTOS POR EL CAMBIO,6.27,1.24,43.63,0.49,47.11,1.26,258,51,1796,20,1939,52,88.3,4813,4250,2.82,0.0,0.33,120,0,14,BUENOS AIRES
72,72.0,BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",JUNTOS POR EL CAMBIO,5.24,1.75,40.41,0.81,50.76,1.03,1472,492,11353,227,14261,288,83.26,34515,28738,1.66,0.1,0.48,477,30,138,BUENOS AIRES
73,73.0,BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",FRENTE DE TODOS,4.42,1.86,46.12,0.88,45.74,0.99,509,214,5311,101,5267,114,82.99,14421,11968,2.98,0.26,0.53,357,31,64,BUENOS AIRES
74,74.0,BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",JUNTOS POR EL CAMBIO,4.77,2.04,39.66,0.96,51.29,1.28,1187,507,9862,238,12755,319,84.68,30186,25561,2.29,0.17,0.25,585,44,64,BUENOS AIRES
77,77.0,BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",JUNTOS POR EL CAMBIO,5.05,2.17,41.13,1.59,48.77,1.28,583,250,4746,184,5627,148,83.54,14185,11850,2.08,0.21,0.35,246,25,41,BUENOS AIRES
78,78.0,BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",JUNTOS POR EL CAMBIO,3.07,1.4,44.4,0.97,49.04,1.12,248,113,3582,78,3956,90,85.78,9715,8334,2.75,0.23,0.23,229,19,19,BUENOS AIRES
80,80.0,BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",FRENTE DE TODOS,5.08,1.94,47.58,0.84,43.31,1.25,953,365,8929,157,8129,235,81.36,23765,19336,2.33,0.1,0.5,451,20,97,BUENOS AIRES
82,82.0,BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",JUNTOS POR EL CAMBIO,6.28,2.37,41.01,0.83,48.44,1.07,2794,1055,18240,371,21545,477,82.91,54779,45420,1.38,0.14,0.54,627,64,247,BUENOS AIRES
84,84.0,BUENOS AIRES_MONTE,"Monte, Buenos Aires",JUNTOS POR EL CAMBIO,4.33,2.11,42.77,1.31,48.08,1.4,617,301,6097,187,6854,199,81.1,18197,14757,2.91,0.22,0.26,430,33,39,BUENOS AIRES
85,85.0,BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",FRENTE DE TODOS,3.53,2.33,55.02,1.23,36.82,1.07,207,137,3231,72,2162,63,77.44,7788,6031,2.07,0.17,0.4,125,10,24,BUENOS AIRES
