,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
0,BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",JUNTOS POR EL CAMBIO,5.45,1.9,42.57,1.28,0.17,46.26,0.61,0.1,0.1,1.55,1194,416,9326,281,37,10134,133,22,22,340,73.86,31216,23056,4.09,0.24,0.66,943,56,152,BUENOS AIRES
1,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",JUNTOS POR EL CAMBIO,7.61,1.66,37.1,0.48,0.16,50.42,0.58,0.14,0.11,1.75,785,171,3827,50,16,5201,60,14,11,181,75.84,14410,10928,4.82,0.19,0.59,527,21,64,BUENOS AIRES
2,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",JUNTOS POR EL CAMBIO,6.2,1.58,44.58,0.41,0.23,45.45,0.26,0.07,0.03,1.18,435,111,3128,29,16,3189,18,5,2,83,80.08,9338,7478,5.63,0.29,0.25,421,22,19,BUENOS AIRES
4,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",FRENTE DE TODOS,9.69,1.8,44.59,1.6,0.18,40.06,0.59,0.07,0.06,1.36,1749,325,8046,289,32,7229,106,12,10,246,76.07,24821,18882,3.93,0.11,0.4,742,20,76,BUENOS AIRES
6,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",FRENTE DE TODOS,7.62,1.92,45.83,1.41,0.19,40.33,0.76,0.12,0.13,1.69,951,240,5722,176,24,5036,95,15,16,211,75.39,17623,13286,5.37,0.14,0.51,713,19,68,BUENOS AIRES
7,BUENOS AIRES_AZUL,"Azul, Buenos Aires",JUNTOS POR EL CAMBIO,6.95,2.98,42.4,1.83,0.24,42.92,0.64,0.14,0.1,1.8,2734,1174,16679,718,93,16886,252,56,41,708,74.39,56261,41853,4.69,0.12,1.19,1964,49,499,BUENOS AIRES
8,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",JUNTOS POR EL CAMBIO,6.88,4.9,36.0,3.57,0.4,43.42,1.05,0.15,0.11,3.53,11962,8520,62605,6216,693,75514,1824,258,196,6131,74.46,246058,183214,3.73,0.22,1.12,6835,403,2057,BUENOS AIRES
9,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",JUNTOS POR EL CAMBIO,11.44,2.02,36.11,2.75,0.17,44.67,0.71,0.14,0.11,1.89,3117,550,9838,749,47,12172,193,37,29,514,73.6,39432,29020,5.21,0.12,0.79,1512,34,228,BUENOS AIRES
10,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",FRENTE DE TODOS,5.29,2.83,58.65,2.19,0.13,28.58,0.42,0.13,0.1,1.68,1097,586,12156,454,27,5924,88,26,20,348,76.65,28897,22149,5.5,0.1,0.82,1218,23,182,BUENOS AIRES
11,BUENOS AIRES_BENITO JUAREZ,"Benito Juarez, Buenos Aires",FRENTE DE TODOS,11.16,2.21,53.71,0.74,0.13,29.99,0.54,0.1,0.1,1.34,1396,276,6717,92,16,3751,68,12,12,167,75.55,17494,13216,4.42,0.18,0.76,584,24,101,BUENOS AIRES
14,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",FRENTE DE TODOS,9.22,3.24,42.38,0.71,0.19,41.87,0.45,0.09,0.09,1.75,1966,691,9035,152,41,8928,95,20,20,373,73.59,30644,22551,4.46,0.3,0.69,1006,68,156,BUENOS AIRES
15,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",FRENTE DE TODOS,8.53,1.65,46.88,0.93,0.21,39.93,0.45,0.06,0.1,1.26,2322,450,12760,252,58,10867,122,16,27,343,78.13,36188,28274,2.66,0.15,0.93,752,41,264,BUENOS AIRES
