,Unnamed: 0,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
0,0,BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",LA LIBERTAD AVANZA,63.72,36.28,14530,8272,73.87,31823,23508,1.44,0.06,1.5,339,15,BUENOS AIRES
1,1,BUENOS AIRES_9 DE JULIO,"9 De Julio, Buenos Aires",LA LIBERTAD AVANZA,63.97,36.03,20408,11495,76.24,43181,32921,1.72,0.03,1.35,566,9,BUENOS AIRES
2,2,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",LA LIBERTAD AVANZA,66.54,33.46,6732,3385,72.18,14521,10481,2.09,0.0,1.38,219,0,BUENOS AIRES
3,3,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Adolfo Gonzales Chaves, Buenos Aires",LA LIBERTAD AVANZA,54.52,45.48,4177,3485,73.12,10893,7965,1.66,0.01,2.13,132,1,BUENOS AIRES
4,4,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",LA LIBERTAD AVANZA,58.22,41.78,4314,3096,79.28,9645,7647,3.01,0.01,0.08,230,1,BUENOS AIRES
6,6,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",LA LIBERTAD AVANZA,58.35,41.65,11376,8120,77.37,25914,20050,1.7,0.05,1.01,340,11,BUENOS AIRES
8,8,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",LA LIBERTAD AVANZA,54.96,45.04,7030,5761,73.16,18475,13517,3.34,0.04,2.0,451,5,BUENOS AIRES
9,9,BUENOS AIRES_AZUL,"Azul, Buenos Aires",LA LIBERTAD AVANZA,57.48,42.52,24024,17772,74.75,58339,43606,1.67,0.02,2.46,730,9,BUENOS AIRES
10,10,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",LA LIBERTAD AVANZA,63.29,36.71,114546,66451,75.25,250653,188613,2.01,0.06,1.97,3792,114,BUENOS AIRES
11,11,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",LA LIBERTAD AVANZA,65.34,34.66,19561,10375,75.65,41091,31087,1.7,0.01,1.99,530,2,BUENOS AIRES
12,12,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",UNION POR LA PATRIA,48.69,51.31,11269,11876,77.23,31040,23972,1.41,0.09,1.95,337,22,BUENOS AIRES
13,13,BUENOS AIRES_BENITO JUAREZ,"Benito Juarez, Buenos Aires",LA LIBERTAD AVANZA,51.73,48.27,6385,5958,72.01,17971,12941,2.48,0.05,2.09,321,6,BUENOS AIRES
16,16,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",LA LIBERTAD AVANZA,61.57,38.43,14090,8796,75.43,31343,23643,1.51,0.0,1.69,357,1,BUENOS AIRES
17,17,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",LA LIBERTAD AVANZA,57.46,42.54,15942,11803,76.95,37383,28767,1.86,0.02,1.68,534,5,BUENOS AIRES
20,20,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",LA LIBERTAD AVANZA,64.42,35.58,6584,3636,77.56,13550,10510,1.92,0.03,0.81,202,3,BUENOS AIRES
21,21,BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",LA LIBERTAD AVANZA,62.43,37.57,9372,5639,76.39,20188,15421,2.14,0.01,0.51,330,1,BUENOS AIRES
22,22,BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",LA LIBERTAD AVANZA,51.82,48.18,4036,3753,78.48,10203,8007,1.79,0.02,0.91,143,2,BUENOS AIRES
23,23,BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",LA LIBERTAD AVANZA,57.97,42.03,5944,4310,75.84,13815,10477,1.65,0.03,0.45,173,3,BUENOS AIRES
24,24,BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",LA LIBERTAD AVANZA,55.36,44.64,3392,2735,79.74,7933,6326,1.19,0.0,1.96,75,0,BUENOS AIRES
26,26,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",LA LIBERTAD AVANZA,53.9,46.1,17811,15232,79.23,43276,34289,1.92,0.05,1.67,657,18,BUENOS AIRES
27,27,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",LA LIBERTAD AVANZA,58.67,41.33,15019,10582,75.65,35366,26756,3.31,0.01,0.99,886,3,BUENOS AIRES
28,28,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",LA LIBERTAD AVANZA,53.64,46.36,24086,20820,76.89,60560,46565,1.93,0.06,1.57,901,26,BUENOS AIRES
29,29,BUENOS AIRES_COLON,"Colon, Buenos Aires",LA LIBERTAD AVANZA,52.61,47.39,8789,7916,77.2,22237,17168,1.49,0.02,1.19,255,4,BUENOS AIRES
30,30,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel De Marina Leonardo Rosales, Buenos Aires",LA LIBERTAD AVANZA,72.87,27.13,26898,10013,79.16,47940,37951,1.35,0.03,1.36,511,12,BUENOS AIRES
31,31,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",LA LIBERTAD AVANZA,63.48,36.52,6420,3693,75.06,13943,10465,1.55,0.04,1.78,162,4,BUENOS AIRES
32,32,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",LA LIBERTAD AVANZA,66.06,33.94,9457,4858,72.27,20606,14891,1.69,0.05,2.12,252,8,BUENOS AIRES
33,33,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",LA LIBERTAD AVANZA,65.85,34.15,16441,8528,74.1,35121,26023,1.34,0.02,2.69,350,4,BUENOS AIRES
34,34,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",LA LIBERTAD AVANZA,62.74,37.26,6793,4035,72.89,15288,11144,1.49,0.01,1.34,166,1,BUENOS AIRES
35,35,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",LA LIBERTAD AVANZA,60.64,39.36,11216,7279,74.97,25513,19128,1.29,0.02,2.01,246,3,BUENOS AIRES
42,42,BUENOS AIRES_FLORENTINO AMEGHINO,"Florentino Ameghino, Buenos Aires",LA LIBERTAD AVANZA,61.58,38.42,3785,2361,77.23,8166,6307,1.03,0.02,1.51,65,1,BUENOS AIRES
43,43,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",LA LIBERTAD AVANZA,55.87,44.13,15668,12376,74.78,38671,28920,1.57,0.07,1.38,455,21,BUENOS AIRES
44,44,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",LA LIBERTAD AVANZA,62.75,37.25,4024,2389,73.92,9004,6656,2.97,0.03,0.65,198,2,BUENOS AIRES
45,45,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",LA LIBERTAD AVANZA,66.16,33.84,7488,3830,75.62,15330,11593,1.48,0.02,0.88,171,2,BUENOS AIRES
46,46,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",LA LIBERTAD AVANZA,59.18,40.82,7403,5107,76.68,16772,12860,1.89,0.02,0.81,243,3,BUENOS AIRES
47,47,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",UNION POR LA PATRIA,48.63,51.37,920,972,67.68,2905,1966,1.53,0.0,2.24,30,0,BUENOS AIRES
48,48,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Juan Madariaga, Buenos Aires",LA LIBERTAD AVANZA,62.54,37.46,8437,5053,71.69,19455,13947,1.95,0.11,1.21,272,16,BUENOS AIRES
49,49,BUENOS AIRES_GENERAL LA MADRID,"General La Madrid, Buenos Aires",LA LIBERTAD AVANZA,61.87,38.13,4413,2720,75.32,9867,7432,1.41,0.0,2.61,105,0,BUENOS AIRES
51,51,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",LA LIBERTAD AVANZA,62.63,37.37,2128,1270,67.38,5151,3471,0.89,0.0,1.21,31,0,BUENOS AIRES
52,52,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",LA LIBERTAD AVANZA,53.78,46.22,4884,4198,79.99,11700,9359,1.99,0.02,0.95,186,2,BUENOS AIRES
53,53,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",LA LIBERTAD AVANZA,56.2,43.8,4439,3459,79.04,10259,8109,1.43,0.02,1.15,116,2,BUENOS AIRES
