,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
0,0,BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",JUNTOS POR EL CAMBIO,1.46,4.41,32.17,29.9,32.05,351,1058,7709,7166,7681,79.0,31754,25085,3.69,0.18,0.6,925,45,BUENOS AIRES
1,1,BUENOS AIRES_9 DE JULIO,"9 De Julio, Buenos Aires",JUNTOS POR EL CAMBIO,2.19,5.33,33.97,31.07,27.44,720,1753,11177,10223,9028,78.38,43208,33867,2.2,0.03,0.62,746,10,BUENOS AIRES
2,2,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",JUNTOS POR EL CAMBIO,1.65,5.86,33.5,33.46,25.53,169,599,3426,3422,2611,73.49,14505,10660,3.39,0.2,0.48,361,21,BUENOS AIRES
3,3,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Adolfo Gonzales Chaves, Buenos Aires",UNION POR LA PATRIA,1.53,5.62,24.81,29.66,38.38,119,438,1934,2312,2991,76.65,10861,8325,5.3,0.22,0.86,441,18,BUENOS AIRES
4,4,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",UNION POR LA PATRIA,1.61,4.66,29.7,28.54,35.49,123,356,2268,2179,2710,82.21,9648,7932,3.68,0.04,0.01,292,3,BUENOS AIRES
6,6,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",UNION POR LA PATRIA,1.29,5.49,27.28,30.18,35.76,252,1073,5334,5902,6993,78.37,25892,20291,3.17,0.08,0.38,643,16,BUENOS AIRES
8,8,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",UNION POR LA PATRIA,2.22,6.49,31.8,27.09,32.39,297,868,4253,3623,4332,76.84,18436,14166,4.77,0.3,0.53,676,42,BUENOS AIRES
9,9,BUENOS AIRES_AZUL,"Azul, Buenos Aires",UNION POR LA PATRIA,2.55,6.54,27.16,30.45,33.31,1095,2807,11662,13076,14306,76.43,58570,44765,2.94,0.09,1.04,1316,39,BUENOS AIRES
10,10,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",LA LIBERTAD AVANZA,3.99,4.47,29.93,32.97,28.63,7387,8270,55366,60996,52967,76.86,250524,192557,2.72,0.17,1.04,5242,321,BUENOS AIRES
11,11,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",LA LIBERTAD AVANZA,1.89,6.38,32.81,33.18,25.74,575,1942,9986,10100,7835,77.11,41068,31666,3.12,0.08,0.68,987,26,BUENOS AIRES
12,12,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",UNION POR LA PATRIA,1.97,5.35,19.88,27.06,45.74,453,1232,4576,6227,10528,77.78,31024,24131,3.64,0.21,0.77,879,51,BUENOS AIRES
