,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
179,175.0,CHUBUT_BIEDMA,"Biedma, Chubut",FRENTE PARA LA VICTORIA,42.11,57.89,20486,28166,78.84,63761,50268,1.01,0.07,2.13,506,37,1073,CHUBUT
180,176.0,CHUBUT_CUSHAMEN,"Cushamen, Chubut",FRENTE PARA LA VICTORIA,30.09,69.91,4758,11054,77.04,21282,16396,1.01,0.01,2.54,166,1,417,CHUBUT
181,177.0,CHUBUT_ESCALANTE,"Escalante, Chubut",FRENTE PARA LA VICTORIA,40.21,59.79,46433,69032,79.57,149442,118911,0.89,0.06,1.95,1062,70,2314,CHUBUT
182,178.0,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",FRENTE PARA LA VICTORIA,31.43,68.57,298,650,71.63,1343,962,0.42,0.0,1.04,4,0,10,CHUBUT
183,179.0,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",FRENTE PARA LA VICTORIA,45.96,54.04,12158,14297,74.72,36917,27585,1.56,0.02,2.52,431,5,694,CHUBUT
184,180.0,CHUBUT_GAIMAN,"Gaiman, Chubut",FRENTE PARA LA VICTORIA,46.16,53.84,3237,3776,79.42,9078,7210,1.01,0.06,1.66,73,4,120,CHUBUT
185,181.0,CHUBUT_GASTRE,"Gastre, Chubut",FRENTE PARA LA VICTORIA,23.46,76.54,156,509,55.56,1222,679,1.03,0.0,1.03,7,0,7,CHUBUT
186,182.0,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",FRENTE PARA LA VICTORIA,25.17,74.83,449,1335,73.09,2508,1833,0.76,0.0,1.91,14,0,35,CHUBUT
187,183.0,CHUBUT_MARTIRES,"Martires, Chubut",FRENTE PARA LA VICTORIA,36.43,63.57,145,253,69.42,605,420,1.67,0.0,3.57,7,0,15,CHUBUT
188,184.0,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",FRENTE PARA LA VICTORIA,39.59,60.41,426,650,71.88,1540,1107,0.99,0.0,1.81,11,0,20,CHUBUT
189,185.0,CHUBUT_RAWSON,"Rawson, Chubut",FRENTE PARA LA VICTORIA,43.42,56.58,35513,46278,79.59,106056,84406,0.93,0.04,2.12,787,36,1792,CHUBUT
190,186.0,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",FRENTE PARA LA VICTORIA,33.58,66.42,1172,2318,71.5,4975,3557,0.51,0.06,1.32,18,2,47,CHUBUT
191,187.0,CHUBUT_SARMIENTO,"Sarmiento, Chubut",FRENTE PARA LA VICTORIA,41.78,58.22,2859,3984,75.63,9258,7002,0.66,0.11,1.5,46,8,105,CHUBUT
192,188.0,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",FRENTE PARA LA VICTORIA,33.84,66.16,1138,2225,71.1,4841,3442,0.84,0.09,1.37,29,3,47,CHUBUT
193,189.0,CHUBUT_TELSEN,"Telsen, Chubut",FRENTE PARA LA VICTORIA,31.82,68.18,287,615,61.41,1508,926,0.76,0.0,1.84,7,0,17,CHUBUT
376,372.0,NEUQUEN_ALUMINE,"Alumine, Neuquen",FRENTE PARA LA VICTORIA,42.35,57.65,2125,2893,80.86,6453,5218,1.23,0.06,2.55,64,3,133,NEUQUEN
377,373.0,NEUQUEN_AÑELO,"Añelo, Neuquen",FRENTE PARA LA VICTORIA,35.79,64.21,2808,5038,78.28,10442,8174,1.02,0.0,3.0,83,0,245,NEUQUEN
378,374.0,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",FRENTE PARA LA VICTORIA,21.32,78.68,256,945,78.8,1566,1234,0.81,0.32,1.54,10,4,19,NEUQUEN
379,375.0,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",FRENTE PARA LA VICTORIA,40.47,59.53,3859,5677,79.76,12359,9857,1.14,0.03,2.09,112,3,206,NEUQUEN
380,376.0,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",FRENTE PARA LA VICTORIA,36.72,63.28,1125,1939,80.94,3887,3146,0.64,0.03,1.94,20,1,61,NEUQUEN
381,377.0,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",FRENTE PARA LA VICTORIA,46.91,53.09,118259,133836,84.83,308798,261938,1.22,0.05,2.49,3188,121,6534,NEUQUEN
382,378.0,NEUQUEN_HUILICHES,"Huiliches, Neuquen",FRENTE PARA LA VICTORIA,48.24,51.76,4861,5215,81.79,12863,10521,1.37,0.0,2.86,144,0,301,NEUQUEN
383,379.0,NEUQUEN_LACAR,"Lacar, Neuquen",CAMBIEMOS,58.23,41.77,11326,8123,78.66,25955,20417,1.24,0.02,3.47,254,5,709,NEUQUEN
384,380.0,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",FRENTE PARA LA VICTORIA,42.55,57.45,1864,2517,83.95,5440,4567,1.18,0.0,2.89,54,0,132,NEUQUEN
385,381.0,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",CAMBIEMOS,58.01,41.99,4247,3074,77.16,9848,7599,1.17,0.05,2.43,89,4,185,NEUQUEN
386,382.0,NEUQUEN_MINAS,"Minas, Neuquen",FRENTE PARA LA VICTORIA,34.29,65.71,1753,3360,81.06,6540,5301,1.23,0.02,2.3,65,1,122,NEUQUEN
387,383.0,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",CAMBIEMOS,52.41,47.59,7781,7065,77.53,19715,15285,0.67,0.03,2.17,103,5,331,NEUQUEN
388,384.0,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",FRENTE PARA LA VICTORIA,35.55,64.45,1131,2050,84.32,3878,3270,0.52,0.09,2.11,17,3,69,NEUQUEN
389,385.0,NEUQUEN_PICUNCHES,"Picunches, Neuquen",FRENTE PARA LA VICTORIA,48.62,51.38,2111,2231,80.03,5557,4447,0.9,0.02,1.44,40,1,64,NEUQUEN
390,386.0,NEUQUEN_ZAPALA,"Zapala, Neuquen",CAMBIEMOS,50.02,49.98,12690,12679,83.6,31336,26196,0.87,0.06,2.23,228,15,584,NEUQUEN
391,387.0,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",FRENTE PARA LA VICTORIA,34.09,65.91,1154,2231,81.48,4281,3488,1.09,0.0,1.86,38,0,65,NEUQUEN
392,388.0,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",FRENTE PARA LA VICTORIA,22.65,77.35,1957,6683,72.91,12073,8803,0.62,0.01,1.22,55,1,107,RIO NEGRO
393,389.0,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",FRENTE PARA LA VICTORIA,39.69,60.31,15822,24042,79.39,51654,41009,0.83,0.03,1.93,341,13,791,RIO NEGRO
394,390.0,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",FRENTE PARA LA VICTORIA,36.12,63.88,7795,13783,79.91,27762,22184,0.76,0.0,1.97,168,1,437,RIO NEGRO
395,391.0,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",FRENTE PARA LA VICTORIA,38.6,61.4,31362,49880,77.43,108491,84009,1.16,0.04,2.1,972,35,1760,RIO NEGRO
396,392.0,RIO NEGRO_CONESA,"Conesa, Rio Negro",FRENTE PARA LA VICTORIA,36.14,63.86,1497,2645,76.14,5562,4235,0.61,0.0,1.58,26,0,67,RIO NEGRO
397,393.0,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",FRENTE PARA LA VICTORIA,23.52,76.48,527,1714,75.86,3028,2297,1.31,0.17,0.96,30,4,22,RIO NEGRO
398,394.0,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",FRENTE PARA LA VICTORIA,37.76,62.24,75843,124988,82.7,250689,207316,0.97,0.03,2.12,2020,61,4404,RIO NEGRO
399,395.0,RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",FRENTE PARA LA VICTORIA,20.34,79.66,434,1700,71.37,3032,2164,0.55,0.0,0.83,12,0,18,RIO NEGRO
400,396.0,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",FRENTE PARA LA VICTORIA,37.35,62.65,3466,5815,79.78,11950,9534,1.19,0.0,1.47,113,0,140,RIO NEGRO
401,397.0,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",FRENTE PARA LA VICTORIA,35.87,64.13,1813,3242,78.18,6628,5182,0.75,0.0,1.7,39,0,88,RIO NEGRO
402,398.0,RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",FRENTE PARA LA VICTORIA,32.95,67.05,6356,12936,77.26,25604,19782,1.05,0.01,1.42,207,2,281,RIO NEGRO
403,399.0,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",FRENTE PARA LA VICTORIA,30.55,69.45,877,1994,71.34,4097,2923,0.55,0.0,1.23,16,0,36,RIO NEGRO
