,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
176,CHUBUT_BIEDMA,"Biedma, Chubut",ALIANZA FRENTE PARA LA VICTORIA,20.46,0.84,3.39,41.85,3.27,30.19,8781,361,1453,17962,1404,12954,79.06,62379,49316,11.24,0.32,1.42,5541,160,700,CHUBUT
177,CHUBUT_CUSHAMEN,"Cushamen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,16.02,0.64,4.8,57.6,2.05,18.89,2141,85,642,7699,274,2525,79.11,20593,16291,15.85,0.21,1.9,2582,34,309,CHUBUT
178,CHUBUT_ESCALANTE,"Escalante, Chubut",ALIANZA FRENTE PARA LA VICTORIA,21.68,1.02,3.69,41.22,3.52,28.86,22664,1069,3852,43083,3683,30165,78.56,142211,111722,4.73,0.12,1.6,5289,132,1785,CHUBUT
179,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",ALIANZA FRENTE PARA LA VICTORIA,10.33,0.55,1.32,57.47,2.2,28.13,94,5,12,523,20,256,85.55,1343,1149,20.02,0.52,0.26,230,6,3,CHUBUT
180,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",ALIANZA FRENTE PARA LA VICTORIA,25.25,1.02,4.93,35.61,3.35,29.84,5828,236,1138,8219,774,6887,75.14,36227,27220,14.08,0.07,1.06,3832,18,288,CHUBUT
181,CHUBUT_GAIMAN,"Gaiman, Chubut",ALIANZA FRENTE PARA LA VICTORIA,20.68,0.93,1.94,44.17,1.59,30.68,1312,59,123,2802,101,1946,81.31,9078,7381,13.16,0.16,0.75,971,12,55,CHUBUT
182,CHUBUT_GASTRE,"Gastre, Chubut",ALIANZA FRENTE PARA LA VICTORIA,14.38,0.88,0.44,65.71,0.88,17.7,65,4,2,297,4,80,76.79,948,728,36.95,0.27,0.69,269,2,5,CHUBUT
183,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",ALIANZA FRENTE PARA LA VICTORIA,13.79,0.41,1.62,63.22,0.88,20.08,204,6,24,935,13,297,81.86,2508,2053,19.82,5.02,3.12,407,103,64,CHUBUT
184,CHUBUT_MARTIRES,"Martires, Chubut",ALIANZA FRENTE PARA LA VICTORIA,3.94,0.25,0.49,60.59,0.0,34.73,16,1,2,246,0,141,78.84,605,477,14.88,0.0,0.0,71,0,0,CHUBUT
185,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),13.33,1.53,1.31,35.19,0.66,47.98,122,14,12,322,6,439,75.65,1540,1165,21.03,0.0,0.43,245,0,5,CHUBUT
186,CHUBUT_RAWSON,"Rawson, Chubut",ALIANZA FRENTE PARA LA VICTORIA,22.55,1.05,3.78,37.88,2.59,32.16,15793,733,2645,26533,1812,22529,79.71,100997,80502,11.18,0.18,1.63,9000,146,1311,CHUBUT
187,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",ALIANZA FRENTE PARA LA VICTORIA,14.36,0.65,1.85,60.59,0.97,21.57,442,20,57,1865,30,664,69.37,4975,3451,9.62,0.61,0.58,332,21,20,CHUBUT
188,CHUBUT_SARMIENTO,"Sarmiento, Chubut",ALIANZA FRENTE PARA LA VICTORIA,19.84,1.01,1.71,44.95,2.95,29.55,1198,61,103,2714,178,1784,72.97,9241,6743,8.65,0.09,1.72,583,6,116,CHUBUT
189,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",ALIANZA FRENTE PARA LA VICTORIA,15.8,0.44,1.13,56.37,0.55,25.72,433,12,31,1545,15,705,74.1,4505,3338,15.67,1.32,0.9,523,44,30,CHUBUT
190,CHUBUT_TELSEN,"Telsen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,12.04,0.84,0.84,66.95,1.4,17.93,43,3,3,239,5,64,59.54,613,365,0.55,0.27,1.37,2,1,5,CHUBUT
374,NEUQUEN_ALUMINE,"Alumine, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,24.44,2.57,4.09,41.66,2.77,24.46,1208,127,202,2059,137,1209,81.43,6698,5454,7.99,0.11,1.28,436,6,70,NEUQUEN
375,NEUQUEN_AÑELO,"Añelo, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,21.48,2.24,3.7,47.27,1.23,24.09,1630,170,281,3587,93,1828,78.3,10442,8176,5.11,0.01,2.05,418,1,168,NEUQUEN
376,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,10.46,4.44,5.73,59.23,2.27,17.87,106,45,58,600,23,181,74.14,1566,1161,11.37,0.0,1.38,132,0,16,NEUQUEN
377,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,19.77,2.14,4.44,44.81,1.72,27.12,1790,194,402,4057,156,2455,79.74,12359,9855,7.14,0.07,0.91,704,7,90,NEUQUEN
378,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,16.33,3.09,3.37,45.14,1.62,30.46,475,90,98,1313,47,886,80.47,3887,3128,6.11,0.06,0.83,191,2,26,NEUQUEN
379,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,28.54,1.63,5.99,35.15,2.89,25.8,70996,4063,14891,87416,7180,64181,84.57,307056,259662,2.72,0.08,1.41,7058,208,3669,NEUQUEN
380,NEUQUEN_HUILICHES,"Huiliches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,25.87,2.28,4.79,33.55,2.59,30.91,2544,224,471,3299,255,3039,82.08,12863,10558,5.31,0.08,1.49,561,8,157,NEUQUEN
381,NEUQUEN_LACAR,"Lacar, Neuquen",ALIANZA CAMBIEMOS,40.1,1.89,6.12,26.14,3.52,22.24,7733,364,1180,5042,678,4289,78.44,25955,20360,2.89,0.06,2.32,589,12,473,NEUQUEN
382,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,19.62,3.75,4.05,40.5,1.85,30.23,732,140,151,1511,69,1128,83.81,5091,4267,10.8,0.0,1.76,461,0,75,NEUQUEN
383,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",ALIANZA CAMBIEMOS,39.98,1.36,3.97,29.72,3.74,21.22,2788,95,277,2073,261,1480,78.63,9508,7476,5.18,0.19,1.35,387,14,101,NEUQUEN
384,NEUQUEN_MINAS,"Minas, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,14.86,2.75,3.71,49.77,2.32,26.6,633,117,158,2120,99,1133,79.16,6540,5177,16.52,0.02,1.18,855,1,61,NEUQUEN
385,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),22.58,3.08,2.11,31.16,1.54,39.53,3310,451,310,4569,226,5795,78.05,19715,15387,3.5,0.09,1.12,539,14,173,NEUQUEN
386,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,20.74,2.0,2.79,49.0,1.25,24.22,632,61,85,1493,38,738,84.12,3878,3262,4.94,0.0,1.66,161,0,54,NEUQUEN
387,NEUQUEN_PICUNCHES,"Picunches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,23.98,2.35,2.22,41.95,1.21,28.28,949,93,88,1660,48,1119,79.71,5511,4393,9.01,0.0,0.91,396,0,40,NEUQUEN
388,NEUQUEN_ZAPALA,"Zapala, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,29.44,1.81,4.9,35.23,2.07,26.54,7364,453,1226,8812,519,6639,83.56,31680,26471,4.2,0.07,1.24,1111,19,328,NEUQUEN
389,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,16.63,2.14,2.73,51.3,1.25,25.95,505,65,83,1558,38,788,81.99,4281,3510,12.76,0.03,0.68,448,1,24,NEUQUEN
390,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,12.4,1.39,1.93,65.66,1.65,16.97,1052,118,164,5569,140,1439,72.11,12073,8706,1.79,0.0,0.78,156,0,68,RIO NEGRO
391,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.69,1.18,3.26,41.73,3.55,27.59,9057,472,1300,16657,1415,11011,79.37,51307,40720,0.9,0.05,1.03,368,20,420,RIO NEGRO
392,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.25,1.18,3.24,49.41,1.92,21.99,4763,253,693,10576,411,4707,81.76,27423,22422,3.25,0.0,1.29,729,1,289,RIO NEGRO
393,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,24.68,1.44,5.67,41.97,3.87,22.36,19862,1159,4561,33778,3118,17996,77.64,107465,83441,2.33,0.04,1.18,1945,34,988,RIO NEGRO
394,RIO NEGRO_CONESA,"Conesa, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,19.62,1.18,3.05,49.95,2.06,24.15,818,49,127,2083,86,1007,76.5,5562,4255,1.13,0.0,0.87,48,0,37,RIO NEGRO
395,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,13.18,2.61,4.63,64.96,1.44,13.18,293,58,103,1444,32,293,74.83,3028,2266,0.97,0.0,0.93,22,0,21,RIO NEGRO
396,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.89,1.48,3.76,44.34,2.51,25.03,45638,2950,7489,88413,5015,49915,82.6,250705,207094,2.24,0.04,1.43,4634,81,2959,RIO NEGRO
397,RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,8.66,2.06,1.87,69.68,1.31,16.42,185,44,40,1489,28,351,71.8,3032,2177,1.38,0.0,0.46,30,0,10,RIO NEGRO
398,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.98,2.07,2.24,48.0,2.47,22.24,2091,188,204,4367,225,2023,82.04,11950,9804,5.39,0.44,1.38,528,43,135,RIO NEGRO
399,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,21.82,1.65,2.88,50.55,3.39,19.7,1112,84,147,2576,173,1004,78.64,6628,5212,1.32,0.02,0.88,69,1,46,RIO NEGRO
400,RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,16.19,1.05,2.46,49.68,1.94,28.68,3106,201,471,9530,372,5502,77.28,25265,19526,0.81,0.01,0.95,158,1,185,RIO NEGRO
401,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,18.98,1.32,1.28,59.7,2.37,16.35,505,35,34,1588,63,435,71.39,3778,2697,0.56,0.0,0.82,15,0,22,RIO NEGRO
402,RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,17.58,3.06,1.27,66.37,1.4,10.32,138,24,10,521,11,81,67.01,1258,843,6.29,0.0,0.59,53,0,5,RIO NEGRO
454,SANTA CRUZ_CORPEN AIKE,"Corpen Aike, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,19.6,0.41,2.19,58.65,0.93,18.23,1498,31,167,4482,71,1393,76.3,10461,7982,3.6,0.06,0.6,287,5,48,SANTA CRUZ
455,SANTA CRUZ_DESEADO,"Deseado, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,23.06,0.45,3.27,46.28,1.38,25.55,14344,277,2036,28788,860,15893,77.48,85216,66029,4.38,0.18,1.24,2895,119,817,SANTA CRUZ
456,SANTA CRUZ_GÜER AIKE,"Güer Aike, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,30.83,0.43,3.08,43.21,0.83,21.61,22298,313,2230,31257,600,15632,78.32,96370,75480,3.08,0.09,1.01,2322,69,759,SANTA CRUZ
457,SANTA CRUZ_LAGO ARGENTINO,"Lago Argentino, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,18.87,0.42,3.72,60.35,2.4,14.24,2321,52,458,7422,295,1751,74.1,17267,12794,2.61,0.09,1.17,334,11,150,SANTA CRUZ
458,SANTA CRUZ_LAGO BUENOS AIRES,"Lago Buenos Aires, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,17.44,0.99,3.31,58.19,1.78,18.29,1026,58,195,3424,105,1076,74.67,8329,6219,4.29,0.1,1.0,267,6,62,SANTA CRUZ
459,SANTA CRUZ_MAGALLANES,"Magallanes, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,26.01,0.38,2.47,44.35,1.23,25.56,1580,23,150,2694,75,1553,73.93,8614,6368,3.64,0.02,0.94,232,1,60,SANTA CRUZ
460,SANTA CRUZ_RIO CHICO,"Rio Chico, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,15.55,0.47,4.57,64.36,0.08,14.97,398,12,117,1647,2,383,74.75,3644,2724,5.43,0.11,0.51,148,3,14,SANTA CRUZ
507,TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",ALIANZA CAMBIEMOS,63.23,1.29,3.23,9.68,1.29,21.29,98,2,5,15,2,33,55.16,281,155,0.0,0.0,0.0,0,0,0,TIERRA DEL FUEGO
508,TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,17.9,1.55,3.98,49.21,2.99,24.36,9433,819,2095,25932,1578,12837,76.8,71125,54627,2.06,0.07,1.41,1124,38,771,TIERRA DEL FUEGO
509,TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,27.01,1.72,4.97,40.53,3.71,22.06,10412,663,1917,15622,1429,8503,73.36,54374,39890,1.67,0.07,1.63,667,26,651,TIERRA DEL FUEGO
