,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
138,CHUBUT_GASTRE,"Gastre, Chubut",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,CHUBUT
177,CHUBUT_BIEDMA,"Biedma, Chubut",ALIANZA FRENTE PARA LA VICTORIA,21.33,1.28,2.35,49.86,0.58,3.52,18.27,0.95,0.32,0.63,0.91,7592,455,838,17749,207,1252,6503,339,113,224,323,72.77,64104,46647,21.34,0.27,2.09,9953,124,975,CHUBUT
178,CHUBUT_CUSHAMEN,"Cushamen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,17.34,0.65,2.97,60.09,0.7,2.4,13.88,0.8,0.16,0.71,0.31,1818,68,311,6301,73,252,1455,84,17,74,33,69.35,20938,14521,25.78,0.12,1.89,3743,17,275,CHUBUT
179,CHUBUT_ESCALANTE,"Escalante, Chubut",ALIANZA FRENTE PARA LA VICTORIA,22.91,1.39,2.35,46.52,1.4,3.48,18.61,1.0,0.45,1.11,0.78,20665,1254,2119,41963,1266,3139,16790,905,402,998,706,69.51,148380,103140,9.72,0.19,2.63,10026,199,2708,CHUBUT
180,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",ALIANZA FRENTE PARA LA VICTORIA,8.42,0.13,0.53,69.61,0.0,2.89,17.37,0.26,0.13,0.26,0.39,64,1,4,529,0,22,132,2,1,2,3,82.87,1343,1113,30.55,0.63,0.54,340,7,6,CHUBUT
181,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",ALIANZA FRENTE PARA LA VICTORIA,26.44,0.87,2.28,43.75,0.61,2.6,20.07,0.64,0.33,1.55,0.86,5252,173,453,8689,121,516,3986,127,65,308,171,68.94,36911,25446,20.21,0.16,1.58,5142,40,403,CHUBUT
182,CHUBUT_GAIMAN,"Gaiman, Chubut",ALIANZA FRENTE PARA LA VICTORIA,27.34,0.95,2.02,44.26,0.33,1.52,21.78,0.41,0.12,0.91,0.37,1407,49,104,2278,17,78,1121,21,6,47,19,75.93,9077,6892,24.46,0.03,0.83,1686,2,57,CHUBUT
183,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",ALIANZA FRENTE PARA LA VICTORIA,16.83,0.14,0.56,67.32,0.07,0.35,13.38,0.21,0.28,0.14,0.7,239,2,8,956,1,5,190,3,4,2,10,76.7,2506,1922,19.98,0.31,5.83,384,6,112,CHUBUT
184,CHUBUT_MARTIRES,"Martires, Chubut",ALIANZA FRENTE PARA LA VICTORIA,6.15,0.62,0.92,74.15,0.31,0.31,17.54,0.0,0.0,0.0,0.0,20,2,3,241,1,1,57,0,0,0,0,55.87,605,338,1.18,1.78,0.89,4,6,3,CHUBUT
185,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",ALIANZA FRENTE PARA LA VICTORIA,24.03,0.65,1.46,52.11,0.0,0.16,20.29,0.49,0.16,0.32,0.32,148,4,9,321,0,1,125,3,1,2,2,79.43,1536,1220,48.11,0.66,0.74,587,8,9,CHUBUT
186,CHUBUT_RAWSON,"Rawson, Chubut",ALIANZA FRENTE PARA LA VICTORIA,25.38,1.3,2.46,42.91,0.81,2.66,21.12,0.89,0.5,1.33,0.65,13801,707,1335,23332,438,1444,11483,483,272,721,352,69.63,106407,74088,24.48,0.14,2.0,18135,105,1480,CHUBUT
187,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",ALIANZA FRENTE PARA LA VICTORIA,13.92,0.48,1.03,68.06,0.44,0.84,13.84,0.32,0.16,0.2,0.72,350,12,26,1711,11,21,348,8,4,5,18,57.38,4974,2854,10.93,0.18,0.81,312,5,23,CHUBUT
188,CHUBUT_SARMIENTO,"Sarmiento, Chubut",ALIANZA FRENTE PARA LA VICTORIA,20.44,1.05,1.03,51.96,0.84,1.91,20.24,0.62,0.43,1.01,0.47,953,49,48,2423,39,89,944,29,20,47,22,59.69,9242,5517,13.41,0.2,1.87,740,11,103,CHUBUT
189,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",ALIANZA FRENTE PARA LA VICTORIA,19.57,0.45,0.45,64.65,0.13,0.27,13.64,0.31,0.13,0.13,0.27,439,10,10,1450,3,6,306,7,3,3,6,56.85,4572,2599,11.12,1.5,1.08,289,39,28,CHUBUT
190,CHUBUT_TELSEN,"Telsen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,25.46,0.26,0.26,57.48,0.0,0.0,15.22,0.0,0.52,0.0,0.79,97,1,1,219,0,0,58,0,2,0,3,41.6,940,391,1.53,0.51,0.51,6,2,2,CHUBUT
374,NEUQUEN_ALUMINE,"Alumine, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,24.78,2.63,3.88,41.49,0.54,3.22,19.89,0.85,0.73,0.71,1.29,1054,112,165,1765,23,137,846,36,31,30,55,74.85,6778,5073,12.79,0.08,3.27,649,4,166,NEUQUEN
375,NEUQUEN_AÑELO,"Añelo, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,21.26,2.73,3.76,45.21,0.44,1.8,22.3,0.66,0.43,0.49,0.92,1347,173,238,2864,28,114,1413,42,27,31,58,73.57,10099,7430,11.53,0.13,3.07,857,10,228,NEUQUEN
376,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,16.48,3.72,3.84,51.43,1.61,1.12,14.37,1.36,2.23,0.5,3.35,133,30,31,415,13,9,116,11,18,4,27,68.17,1467,1000,17.2,0.0,2.1,172,0,21,NEUQUEN
377,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,19.01,2.33,4.5,43.91,1.07,2.11,24.36,0.54,0.4,0.75,1.01,1512,185,358,3492,85,168,1937,43,32,60,80,75.77,12359,9364,13.14,0.04,1.9,1230,4,178,NEUQUEN
378,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,18.72,2.59,2.59,49.01,0.97,1.78,22.08,0.32,0.16,0.49,1.29,463,64,64,1212,24,44,546,8,4,12,32,73.73,3887,2866,11.72,0.1,1.88,336,3,54,NEUQUEN
379,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,27.31,2.28,7.13,35.36,0.84,3.2,21.08,0.78,0.39,0.95,0.68,59682,4974,15578,77270,1842,6982,46066,1708,843,2080,1496,80.78,306711,247751,9.16,0.11,2.53,22702,271,6257,NEUQUEN
380,NEUQUEN_HUILICHES,"Huiliches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,26.85,3.17,4.55,32.05,0.99,2.87,25.91,0.99,0.37,1.39,0.86,2268,268,384,2707,84,242,2188,84,31,117,73,78.87,12863,10145,14.11,0.07,2.57,1431,7,261,NEUQUEN
381,NEUQUEN_LACAR,"Lacar, Neuquen",ALIANZA CAMBIEMOS,37.97,2.24,6.11,25.23,0.84,4.31,20.57,0.87,0.46,0.68,0.72,6838,403,1101,4544,151,777,3705,157,83,122,129,76.7,25955,19908,6.08,0.08,3.38,1210,15,673,NEUQUEN
382,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,22.46,2.86,4.66,35.81,0.76,2.35,26.94,0.72,1.03,0.55,1.86,651,83,135,1038,22,68,781,21,30,16,54,77.94,5440,4240,27.62,0.85,3.16,1171,36,134,NEUQUEN
383,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",ALIANZA CAMBIEMOS,37.63,2.13,3.69,28.53,0.58,5.05,19.88,0.92,0.33,0.71,0.55,2539,144,249,1925,39,341,1341,62,22,48,37,75.15,9848,7401,6.47,0.05,2.31,479,4,171,NEUQUEN
384,NEUQUEN_MINAS,"Minas, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,15.77,2.16,5.3,49.13,0.68,1.35,21.7,0.62,1.19,0.62,1.46,583,80,196,1816,25,50,802,23,44,23,54,78.67,6279,4940,20.57,0.08,4.53,1016,4,224,NEUQUEN
385,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,24.41,4.67,2.66,34.93,1.03,1.76,28.09,0.66,0.51,0.47,0.82,2679,513,292,3834,113,193,3083,72,56,52,90,71.59,19365,13863,19.02,0.04,1.75,2637,6,243,NEUQUEN
386,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,21.44,1.58,4.34,48.8,0.83,1.18,20.1,0.75,0.47,0.2,0.32,544,40,110,1238,21,30,510,19,12,5,8,82.62,3878,3204,15.79,0.5,4.53,506,16,145,NEUQUEN
387,NEUQUEN_PICUNCHES,"Picunches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,24.83,2.38,3.13,38.02,0.5,1.78,25.77,0.78,0.88,0.59,1.34,794,76,100,1216,16,57,824,25,28,19,43,75.93,5836,4431,24.94,0.09,2.8,1105,4,124,NEUQUEN
388,NEUQUEN_ZAPALA,"Zapala, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,27.28,2.43,4.29,35.91,1.32,2.16,22.84,0.79,0.56,1.07,1.36,5936,528,933,7814,287,470,4971,171,122,233,295,79.49,31680,25184,10.99,0.15,2.45,2768,39,617,NEUQUEN
389,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,18.89,3.15,2.06,50.28,0.69,1.65,19.33,0.89,0.97,0.77,1.33,468,78,51,1246,17,41,479,22,24,19,33,79.14,4281,3388,24.94,0.06,1.86,845,2,63,NEUQUEN
390,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,15.05,1.4,1.75,62.41,0.47,1.61,15.55,0.54,0.25,0.3,0.68,1066,99,124,4420,33,114,1101,38,18,21,48,61.75,12073,7455,4.01,0.05,0.94,299,4,70,RIO NEGRO
391,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,23.9,1.56,2.52,42.96,0.87,3.57,22.98,0.64,0.24,0.36,0.41,8371,547,882,15046,303,1251,8048,225,83,125,142,71.1,51654,36724,2.71,0.1,1.82,994,38,669,RIO NEGRO
392,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,21.98,1.4,2.34,51.08,0.62,1.88,19.31,0.42,0.21,0.3,0.45,4193,267,446,9744,118,359,3684,81,40,57,86,73.49,27419,20151,3.26,0.0,2.07,657,1,418,RIO NEGRO
393,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,24.7,1.99,4.63,39.97,1.11,4.22,20.66,0.89,0.33,0.82,0.68,18102,1459,3396,29300,811,3096,15145,653,239,600,499,71.58,107451,76911,2.55,0.03,2.12,1962,22,1627,RIO NEGRO
394,RIO NEGRO_CONESA,"Conesa, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,20.79,1.46,1.57,51.14,0.6,2.12,20.87,0.63,0.25,0.08,0.49,756,53,57,1860,22,77,759,23,9,3,18,68.02,5562,3783,2.59,0.0,1.27,98,0,48,RIO NEGRO
395,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,13.23,1.81,4.09,61.21,0.74,1.12,14.98,0.37,0.53,0.74,1.17,249,34,77,1152,14,21,282,7,10,14,22,65.49,3028,1983,3.28,0.0,1.82,65,0,36,RIO NEGRO
396,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.72,1.99,3.42,44.14,0.9,2.76,22.06,0.69,0.25,0.45,0.61,41053,3594,6186,79770,1631,4988,39873,1254,460,811,1106,76.15,249638,190097,2.98,0.03,1.92,5658,54,3659,RIO NEGRO
397,RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,9.09,1.2,2.57,69.21,0.77,1.11,13.38,0.94,0.51,0.43,0.77,106,14,30,807,9,13,156,11,6,5,9,61.83,1944,1202,2.5,0.0,0.5,30,0,6,RIO NEGRO
398,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.76,2.16,1.86,46.81,0.64,3.46,20.93,0.46,0.25,0.22,0.45,1943,184,159,3996,55,295,1787,39,21,19,38,74.44,11950,8896,2.54,0.16,1.35,226,14,120,RIO NEGRO
399,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,26.31,2.72,2.98,43.2,1.09,3.66,17.77,0.86,0.26,0.36,0.78,1014,105,115,1665,42,141,685,33,10,14,30,71.18,5728,4077,3.65,0.0,1.82,149,0,74,RIO NEGRO
400,RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,17.73,1.48,1.77,51.44,0.65,2.06,23.53,0.6,0.2,0.24,0.31,3062,255,305,8883,112,355,4063,104,35,42,53,70.09,25604,17947,2.5,0.01,1.27,448,2,228,RIO NEGRO
401,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.08,0.93,1.18,49.15,0.59,1.44,13.11,0.85,0.76,0.34,9.56,261,11,14,581,7,17,155,10,9,4,113,58.82,2030,1194,0.42,0.0,0.59,5,0,7,RIO NEGRO
402,RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,9.84,2.43,2.85,66.19,1.85,1.28,12.13,0.57,1.0,0.29,1.57,69,17,20,464,13,9,85,4,7,2,11,58.53,1324,775,7.48,0.13,1.94,58,1,15,RIO NEGRO
454,SANTA CRUZ_CORPEN AIKE,"Corpen Aike, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,21.22,0.82,2.0,56.02,0.6,0.89,17.14,0.53,0.11,0.36,0.3,1550,60,146,4091,44,65,1252,39,8,26,22,71.97,10461,7529,1.67,0.01,1.31,126,1,99,SANTA CRUZ
455,SANTA CRUZ_DESEADO,"Deseado, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,21.0,1.52,5.01,44.14,0.68,1.51,24.13,0.7,0.32,0.64,0.34,13001,939,3102,27324,422,932,14937,435,196,397,213,72.9,89137,64977,2.31,0.15,2.28,1501,96,1482,SANTA CRUZ
456,SANTA CRUZ_GÜER AIKE,"Güer Aike, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,31.41,0.91,3.75,40.38,0.46,1.42,19.7,0.8,0.21,0.74,0.22,21873,636,2609,28117,320,991,13715,554,146,518,156,73.44,99457,73042,2.58,0.13,1.95,1886,96,1425,SANTA CRUZ
457,SANTA CRUZ_LAGO ARGENTINO,"Lago Argentino, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,19.93,0.73,3.28,55.68,0.53,2.75,14.94,0.78,0.31,0.66,0.39,2163,79,356,6044,58,299,1622,85,34,72,42,64.92,17267,11210,1.28,0.23,1.66,144,26,186,SANTA CRUZ
458,SANTA CRUZ_LAGO BUENOS AIRES,"Lago Buenos Aires, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,21.9,1.12,6.09,50.63,0.47,2.07,16.65,0.4,0.31,0.25,0.11,1209,62,336,2795,26,114,919,22,17,14,6,67.18,8614,5787,1.95,0.09,2.57,113,5,149,SANTA CRUZ
459,SANTA CRUZ_MAGALLANES,"Magallanes, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,26.58,0.87,3.34,44.18,0.35,1.54,21.39,0.66,0.24,0.44,0.42,1522,50,191,2530,20,88,1225,38,14,25,24,68.78,8614,5925,1.45,0.03,1.86,86,2,110,SANTA CRUZ
460,SANTA CRUZ_RIO CHICO,"Rio Chico, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,19.21,1.27,4.65,61.95,0.45,1.23,10.28,0.34,0.3,0.11,0.22,516,34,125,1664,12,33,276,9,8,3,6,70.38,3973,2796,2.18,0.04,1.72,61,1,48,SANTA CRUZ
507,TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",ALIANZA CAMBIEMOS,67.55,2.65,1.99,9.93,0.66,1.32,14.57,0.66,0.0,0.0,0.66,102,4,3,15,1,2,22,1,0,0,1,55.52,281,156,1.92,0.0,1.28,3,0,2,TIERRA DEL FUEGO
508,TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,18.99,1.84,2.63,51.55,0.6,2.07,20.12,1.28,0.18,0.42,0.32,9521,921,1320,25839,302,1037,10085,641,92,209,159,74.99,71431,53564,3.37,0.17,2.88,1803,91,1544,TIERRA DEL FUEGO
509,TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,26.59,2.16,2.97,41.08,1.26,2.71,21.17,0.88,0.22,0.44,0.52,9898,803,1106,15290,470,1010,7879,326,83,164,195,71.75,55268,39656,3.08,0.1,2.95,1223,41,1168,TIERRA DEL FUEGO
