,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
176,CHUBUT_BIEDMA,"Biedma, Chubut",FRENTE DE TODOS,10.53,4.22,51.87,5.83,0.4,22.54,1.11,0.3,0.22,2.99,5226,2094,25756,2896,199,11190,549,150,108,1485,73.48,71041,52199,2.31,0.16,2.41,1207,83,1256,CHUBUT
177,CHUBUT_CUSHAMEN,"Cushamen, Chubut",FRENTE DE TODOS,5.93,3.05,64.28,6.5,0.48,17.01,0.87,0.22,0.09,1.59,799,411,8667,877,65,2293,117,29,12,214,70.65,21119,14920,7.15,0.22,2.25,1067,33,336,CHUBUT
178,CHUBUT_ESCALANTE,"Escalante, Chubut",FRENTE DE TODOS,7.35,3.26,56.24,3.26,0.32,25.76,0.81,0.18,0.15,2.66,7455,3311,57040,3303,323,26128,824,181,152,2701,71.08,157100,111669,6.81,0.13,2.23,7608,149,2494,CHUBUT
179,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",FRENTE DE TODOS,1.43,2.43,67.14,9.48,0.0,17.97,0.55,0.11,0.11,0.77,13,22,609,86,0,163,5,1,1,7,77.54,1447,1122,14.62,0.18,4.37,164,2,49,CHUBUT
180,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",FRENTE DE TODOS,9.17,4.59,51.23,6.42,0.25,24.01,1.32,0.29,0.23,2.48,2425,1213,13546,1698,65,6348,350,76,61,657,71.6,39234,28092,3.17,0.16,2.55,891,46,716,CHUBUT
181,CHUBUT_GAIMAN,"Gaiman, Chubut",FRENTE DE TODOS,8.32,3.21,50.43,3.6,0.41,31.14,0.87,0.02,0.15,1.86,545,210,3304,236,27,2040,57,1,10,122,73.65,9856,7259,6.94,0.32,2.48,504,23,180,CHUBUT
182,CHUBUT_GASTRE,"Gastre, Chubut",FRENTE DE TODOS,6.53,1.01,71.86,4.52,0.0,12.06,1.76,0.0,0.0,2.26,26,4,286,18,0,48,7,0,0,9,49.77,854,425,3.53,0.24,2.59,15,1,11,CHUBUT
183,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",FRENTE DE TODOS,3.85,2.33,72.26,2.68,0.23,16.55,1.05,0.47,0.23,0.35,33,20,620,23,2,142,9,4,2,3,62.36,1663,1037,15.81,0.39,1.06,164,4,11,CHUBUT
184,CHUBUT_MARTIRES,"Martires, Chubut",FRENTE DE TODOS,2.95,1.64,69.51,4.26,0.66,18.69,1.31,0.0,0.33,0.66,9,5,212,13,2,57,4,0,1,2,53.07,618,328,6.1,0.61,0.3,20,2,1,CHUBUT
185,CHUBUT_PASO DE INDIOS,"Paso De Los Indios, Chubut",FRENTE DE TODOS,9.33,1.17,59.98,2.45,0.47,23.34,1.28,0.93,0.7,0.35,80,10,514,21,4,200,11,8,6,3,57.84,1601,926,5.18,0.0,2.27,48,0,21,CHUBUT
186,CHUBUT_RAWSON,"Rawson, Chubut",FRENTE DE TODOS,10.12,4.39,50.57,5.32,0.38,24.53,1.29,0.32,0.25,2.82,7828,3401,39137,4114,297,18982,995,249,196,2186,74.11,113991,84477,5.54,0.22,2.64,4676,184,2232,CHUBUT
187,CHUBUT_RIO SENGUER,"Rio Senger, Chubut",FRENTE DE TODOS,5.88,2.01,63.63,3.42,0.48,22.03,0.93,0.28,0.24,1.09,146,50,1580,85,12,547,23,7,6,27,56.01,5053,2830,10.78,0.21,1.27,305,6,36,CHUBUT
188,CHUBUT_SARMIENTO,"Sarmiento, Chubut",FRENTE DE TODOS,5.81,1.87,59.37,8.07,0.14,22.55,0.49,0.14,0.03,1.53,341,110,3486,474,8,1324,29,8,2,90,67.9,10067,6835,11.84,0.09,2.17,809,6,148,CHUBUT
189,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",FRENTE DE TODOS,8.96,2.04,66.45,3.97,0.2,16.1,0.81,0.31,0.14,1.02,264,60,1957,117,6,474,24,9,4,30,66.91,5028,3364,11.12,0.15,1.19,374,5,40,CHUBUT
190,CHUBUT_TELSEN,"Telsen, Chubut",FRENTE DE TODOS,6.95,1.99,60.26,4.64,0.66,22.85,1.66,0.33,0.0,0.66,21,6,182,14,2,69,5,1,0,2,51.53,621,320,3.44,0.62,1.56,11,2,5,CHUBUT
374,NEUQUEN_ALUMINE,"Alumine, Neuquen",FRENTE DE TODOS,6.43,3.63,56.14,5.0,0.74,24.32,1.18,0.59,0.17,1.81,306,173,2673,238,35,1158,56,28,8,86,75.8,7303,5536,12.68,0.05,1.26,702,3,70,NEUQUEN
375,NEUQUEN_AÑELO,"Añelo, Neuquen",FRENTE DE TODOS,6.72,2.71,63.45,4.07,0.34,19.61,0.59,0.29,0.35,1.88,533,215,5035,323,27,1556,47,23,28,149,71.41,12692,9063,8.58,0.09,3.76,778,8,341,NEUQUEN
376,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",FRENTE DE TODOS,6.2,1.74,72.31,2.61,0.97,12.58,0.87,0.77,0.29,1.65,64,18,747,27,10,130,9,8,3,17,75.03,1574,1181,10.41,0.08,2.03,123,1,24,NEUQUEN
377,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",FRENTE DE TODOS,6.8,3.7,58.37,3.88,0.49,23.71,0.62,0.45,0.28,1.71,593,323,5091,338,43,2068,54,39,24,149,77.22,12965,10011,10.46,0.03,2.39,1047,3,239,NEUQUEN
378,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",FRENTE DE TODOS,5.73,2.71,61.33,4.49,0.72,21.0,0.83,0.45,0.34,2.41,152,72,1627,119,19,557,22,12,9,64,78.54,3887,3053,10.61,0.03,2.46,324,1,75,NEUQUEN
379,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",FRENTE DE TODOS,8.56,5.41,46.5,4.64,0.45,30.12,1.09,0.32,0.21,2.69,20736,13107,112620,11244,1095,72949,2632,763,514,6517,80.32,329502,264643,6.04,0.18,2.26,15996,481,5989,NEUQUEN
380,NEUQUEN_HUILICHES,"Huiliches, Neuquen",FRENTE DE TODOS,6.85,4.7,50.55,3.78,0.62,30.1,0.99,0.28,0.36,1.77,656,450,4839,362,59,2881,95,27,34,169,77.5,13926,10793,9.14,0.09,2.08,987,10,224,NEUQUEN
381,NEUQUEN_LACAR,"Lacar, Neuquen",JUNTOS POR EL CAMBIO,7.28,5.58,37.01,3.4,0.46,41.38,1.36,0.37,0.25,2.92,1428,1094,7260,666,90,8117,266,72,50,573,73.9,28545,21094,3.99,0.09,2.93,841,20,617,NEUQUEN
382,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",FRENTE DE TODOS,7.38,3.33,63.99,1.86,0.75,19.03,0.61,0.67,0.67,1.72,266,120,2307,67,27,686,22,24,24,62,76.71,5702,4374,13.31,0.07,4.21,582,3,184,NEUQUEN
383,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",JUNTOS POR EL CAMBIO,9.02,4.69,37.91,4.86,0.35,38.91,1.16,0.31,0.23,2.55,694,361,2916,374,27,2993,89,24,18,196,72.42,11317,8196,3.49,0.06,2.6,286,5,213,NEUQUEN
384,NEUQUEN_MINAS,"Minas, Neuquen",FRENTE DE TODOS,5.07,2.92,68.28,5.73,0.77,14.75,0.4,0.61,0.23,1.24,217,125,2921,245,33,631,17,26,10,53,78.51,6850,5378,18.5,0.04,1.92,995,2,103,NEUQUEN
385,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",FRENTE DE TODOS,7.96,2.54,47.74,11.99,0.9,25.06,0.87,0.46,0.34,2.13,873,279,5238,1316,99,2750,95,51,37,234,73.46,20601,15133,24.64,0.01,2.84,3729,2,430,NEUQUEN
386,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",FRENTE DE TODOS,7.01,2.43,68.08,2.21,0.4,17.47,0.98,0.36,0.15,0.91,193,67,1875,61,11,481,27,10,4,25,73.87,4103,3031,7.79,0.03,1.32,236,1,40,NEUQUEN
387,NEUQUEN_PICUNCHES,"Picunches, Neuquen",FRENTE DE TODOS,5.33,1.65,55.09,2.4,0.81,31.46,0.61,0.42,0.42,1.81,191,59,1975,86,29,1128,22,15,15,65,75.05,5447,4088,10.32,0.05,1.93,422,2,79,NEUQUEN
388,NEUQUEN_ZAPALA,"Zapala, Neuquen",FRENTE DE TODOS,7.77,4.21,48.76,4.29,0.6,30.57,1.01,0.48,0.35,1.96,1841,998,11547,1015,143,7239,240,113,82,463,80.46,32595,26227,7.81,0.02,1.88,2049,5,492,NEUQUEN
389,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",FRENTE DE TODOS,5.41,1.98,69.79,2.59,0.62,16.82,0.55,0.39,0.55,1.3,167,61,2153,80,19,519,17,12,17,40,79.71,4563,3637,13.83,0.08,1.26,503,3,46,NEUQUEN
390,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",FRENTE DE TODOS,3.55,1.66,74.77,4.02,0.4,13.77,0.53,0.28,0.13,0.9,269,126,5670,305,30,1044,40,21,10,68,65.8,12595,8287,5.82,0.11,2.57,482,9,213,RIO NEGRO
391,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",FRENTE DE TODOS,7.64,2.97,54.29,4.59,0.28,26.65,0.94,0.24,0.15,2.24,2813,1095,19981,1691,103,9809,347,89,56,823,72.34,54959,39758,5.15,0.31,1.97,2047,122,782,RIO NEGRO
392,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",FRENTE DE TODOS,6.05,1.98,60.71,4.37,0.24,24.58,0.44,0.22,0.14,1.28,1201,393,12043,866,47,4875,87,44,28,253,72.96,29859,21786,7.09,0.23,1.62,1545,51,353,RIO NEGRO
393,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",FRENTE DE TODOS,7.72,4.21,54.81,4.31,0.35,24.05,1.19,0.29,0.19,2.88,6340,3459,45037,3541,286,19760,977,239,159,2367,73.98,118330,87545,4.01,0.07,2.07,3507,57,1816,RIO NEGRO
394,RIO NEGRO_CONESA,"Conesa, Rio Negro",FRENTE DE TODOS,6.5,1.89,61.06,3.61,0.19,24.17,0.5,0.28,0.25,1.56,234,68,2198,130,7,870,18,10,9,56,71.47,5552,3968,6.55,0.13,2.6,260,5,103,RIO NEGRO
395,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",FRENTE DE TODOS,4.28,2.71,72.54,2.58,0.18,15.27,1.01,0.32,0.28,0.83,93,59,1577,56,4,332,22,7,6,18,67.87,3455,2345,4.73,1.36,1.19,111,32,28,RIO NEGRO
